#Format:      
#Parameter    MagSys|Instrument|Band                    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_B    4344.300590482821    All      -0.4080445321016295        0.27676029525891543       -0.09862173436370357       0.21866242662954968        
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_I    7893.053078216195    All      0.15210977459764025        -0.032212697790390266     0.056828292555792505       -0.05750390759214558       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_R            6379.294196170093    All      0.7046996410832683         -0.0892680268499646       0.01903287377326673        -0.25777204046459135       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_B            4385.446703250827    All      -0.7302447055778377        0.5219035630280366        0.0011222362875211698      0.40791596579064           
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_R    6495.280018180939    All      0.47376124853113555        -0.05319842673117137      0.08417038246244907        -0.16789196510259002       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_I            7907.945638525575    All      0.21833944556038046        -0.049270853466865105     0.06632281524889688        -0.08420979587561782       
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_V    5434.948596508868    All      0.23616982748884963        0.1543747828663733        -0.1455431374954834        -0.03313825878154969       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_V            5377.347673438055    All      0.3502369733373078         0.26776847180460805       0.017566327084054065       -0.02607879958377339       
Check         All|All|All                               All                  All      0.9970276729191148         0.9968571081195421        0.0008780555527934698      -1.6374980078143198e-05    
Lambda        Linear_AB11_off|Krisciunas|Bessell12_B    4344.300590482821    All      -9.438611650394688e-05     3.770191207237781e-05     -0.0001306055462405637     3.719709079523371e-05      
Lambda        Linear_AB11_off|Krisciunas|Bessell12_I    7893.053078216195    All      6.946175650461345e-06      3.368641712372908e-07     2.3956041937232775e-05     -1.083822063134581e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_K2_R            6379.294196170093    All      -0.0002338500234589895     -7.607866675939747e-06    -0.0005425235432086257     4.948417959722085e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K2_B            4385.446703250827    All      -0.000343720054516275      9.810653277155925e-05     -0.0008436294509475052     0.00010627014739675116     
Lambda        Linear_AB11_off|Krisciunas|Bessell12_R    6495.280018180939    All      -0.00013268275431451367    1.2960024505083206e-05    -8.771422497883521e-05     4.352636156270243e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K2_I            7907.945638525575    All      2.8627158447215257e-05     3.246160063888073e-06     0.00012287918703169495     -2.783892429962532e-06     
Lambda        Linear_AB11_off|Krisciunas|Bessell12_V    5434.948596508868    All      3.0060655290586357e-05     3.893851145496515e-06     -0.00020155679941927105    -1.751794321352768e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K2_V            5377.347673438055    All      7.37531659167432e-08       -3.451433070969141e-05    -0.0011624971386204632     -6.314338497283767e-05     
MWEBV         All|All|All                               All                  All      -0.8485056159635112        -4.074690938787651        0.026582778654274233       -1.0496884306672651        
Redshift      All|All|All                               All                  All      3.8443737150410255         -0.16311573122793632      1.6720541516650338         -1.2307550578146098        
