#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_i            6324.0920147155375    All      1.0688936756761434        -0.02765523878487386      0.06571836840849996       -0.3542493478791703       
Zeropoint     AB|SDSS|SDSS_z            7518.818237707187     All      0.09525444262441195       -0.02141534338395701      0.17065323697361634       -0.030387717440711247     
Zeropoint     AB|SDSS|SDSS_g            3990.961989485181     All      -0.9598632056787589       0.5510356465084243        -0.25662522591439674      0.48069745805762576       
Zeropoint     AB|SDSS|SDSS_r            5214.994248701486     All      0.8308293190923535        0.4815402278154579        -0.02492719568194433      -0.11488733455547948      
Zeropoint     AB|SDSS|SDSS_u            3035.072912251047     All      -0.038823666383907524     0.014414992983269315      0.06109650451731931       0.020068039246270222      
Check         All|All|All               All                   All      0.9962905653302422        0.9979202851383207        0.015915688303094533      0.0012410974285349957     
Lambda        AB|SDSS|SDSS_i            6324.0920147155375    All      -0.000444256739080231     3.1980856692608565e-05    -0.001152792124043605     0.0001036824347813895     
Lambda        AB|SDSS|SDSS_z            7518.818237707187     All      -1.217017660834615e-05    2.3844409859118444e-06    -5.047369653995254e-05    2.4885085238711714e-06    
Lambda        AB|SDSS|SDSS_g            3990.961989485181     All      -0.0008700357883748707    0.0004077291267137957     -0.0005528503636956735    0.0003915388974795958     
Lambda        AB|SDSS|SDSS_r            5214.994248701486     All      2.8289766863920347e-05    0.0001789759025495869     -0.0025171859457492817    -6.324701592247071e-05    
Lambda        AB|SDSS|SDSS_u            3035.072912251047     All      -4.08513918113495e-05     1.5098308792248614e-05    7.873570446505516e-05     2.1738271047332464e-05    
MWEBV         All|All|All               All                   All      -0.652448002423403        -3.2686562455173984       0.17644060549446083       -0.8443113616095291       
Redshift      All|All|All               All                   All      7.5139370391366445        -1.7505341085996662       8.557112860820409         -2.6358783992846626       
