#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_i            6324.0920147155375    All      1.102152904811752          -0.058163638152741726     -0.5368804072168221        -0.4019117780955044       
Zeropoint     AB|SDSS|SDSS_z            7518.818237707187     All      0.05111837859333498        -0.01906346918243429      -0.060912708598381826      -0.0255787911575725       
Zeropoint     AB|SDSS|SDSS_g            3990.961989485181     All      -0.9729245255324381        0.6430017377361708        0.20227909480168282        0.5353871333082865        
Zeropoint     AB|SDSS|SDSS_r            5214.994248701486     All      0.8503801834191922         0.4120616107275765        0.12778260155257293        -0.13707242875534634      
Zeropoint     AB|SDSS|SDSS_u            3035.072912251047     All      -0.035054219119694134      0.022090281061437622      0.2753661207834046         0.030902168966924493      
Check         All|All|All               All                   All      0.995672722172147          0.9999265221900089        0.007634701322456472       0.0017263042667877426     
Lambda        AB|SDSS|SDSS_i            6324.0920147155375    All      -0.0006498512107062616     8.80768586677511e-05      -0.002139991313932304      0.0001448694655912987     
Lambda        AB|SDSS|SDSS_z            7518.818237707187     All      -2.1952233517907806e-05    3.2833295957924123e-06    -0.00011360214519345614    3.150511147295351e-06     
Lambda        AB|SDSS|SDSS_g            3990.961989485181     All      -0.0008024188760822942     0.00036789655703326797    0.00020308242643713416     0.0003902728747678989     
Lambda        AB|SDSS|SDSS_r            5214.994248701486     All      -2.6962515712408383e-05    0.00019232858142550179    -0.003504965438021122      -8.498018497426177e-05    
Lambda        AB|SDSS|SDSS_u            3035.072912251047     All      -4.44964357947882e-05      1.7697633912238602e-05    9.08471665542377e-05       2.4312746425067548e-05    
MWEBV         All|All|All               All                   All      -0.6605269031781629        -3.272764994373034        -0.20169022682672288       -0.8598923948762646       
Redshift      All|All|All               All                   All      7.78613031924671           -1.7989842603629569       9.372607105405638          -2.703930751195145        
