#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|MEGACAMPSF|z           5136.216207440153    All      0.4414832994255235        0.07291929752959447       0.28555617474678424       -0.10731036024613017       
Zeropoint     AB|MEGACAMPSF|i           4459.163885827001    All      2.8838879058440074        0.814583453417228         -0.12671214344716447      -0.6796951192439874        
Zeropoint     AB|MEGACAMPSF|r           3646.873669328603    All      -2.3222602057733575       0.11308403665779565       -0.15451638958594527      0.7863763834064751         
Check         All|All|All               All                  All      1.003110999496174         1.0005867876046182        0.004327641713674502      -0.0006290960836424775     
Lambda        AB|MEGACAMPSF|z           5136.216207440153    All      0.00010409578530453439    1.7025942348658606e-05    6.578881380720353e-05     -2.5425659760354688e-05    
Lambda        AB|MEGACAMPSF|i           4459.163885827001    All      -0.0007584376301250972    -0.0002409578220451508    -0.0024894657436952115    5.746677563312784e-05      
Lambda        AB|MEGACAMPSF|r           3646.873669328603    All      -0.0033854585192304434    8.210013758755393e-05     -0.00212878519855656      0.0010345000275621332      
MWEBV         All|All|All               All                  All      -0.26839467852401944      -1.9236704108145375       0.026391565074651232      -0.5380000286238732        
Redshift      All|All|All               All                  All      10.641071463407421        1.3528951002689027        2.1504413541547027        -2.9295002923841444        
