#Date  :
#Mag  :
#Magerr  :
#end  :
@INSTRUMENT  CfA34_FLWO
@BAND  CfA4_KC_i'_2
@MAGSYS  Linear_AB11_off
55195.48036  16.4525  0.0226
55202.39231  16.492  0.0264
55204.44039  16.548  0.0199
55205.37781  16.5595  0.0222
55208.43819  16.6945  0.0204
55209.52669  16.792  0.0253
55212.36979  17.098  0.0344
55221.40117  17.147  0.0225
55222.52327  17.287  0.3349
55242.38299  17.899  0.0655
55244.35201  18.029  0.0829
55247.25278  18.032  0.0417
55267.30156  18.807  0.0734
55270.23087  19.007  0.0931
55331.17222  20.379  0.2615
55332.20318  20.4365  0.2694
