#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_2     4369.393992062874    All      -1.1855388649980017        0.7988109749318184        -0.24849638110536754       0.6352787738496367         
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_2     5345.496279035831    All      0.43505116764630974        0.3867114791574977        -0.012360353280632674      -0.016297412667185245      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_2    7516.168761944196    All      0.4509850761226095         -0.09394144972993956      0.10936880309002639        -0.17261986965121023       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_2    6134.110322439098    All      1.298281394913302          -0.09352892924754386      0.15278002635749077        -0.44654054089572304       
Check         All|All|All                                All                  All      0.9987787736842196         0.9980520751118327        0.0012920950615169513      -0.00017904936448176478    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_2     4369.393992062874    All      -0.0003823664718585795     9.046313202186105e-06     -0.0014728031071167557     6.177158286181434e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_2     5345.496279035831    All      5.452222379332167e-06      4.635916266787196e-05     -0.0009204073356645252     -2.774881586237791e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_2    7516.168761944196    All      -0.00017158025946803818    1.9763058556581923e-05    -0.00025844154852218805    5.0793754357355166e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_2    6134.110322439098    All      -0.00028080994773135664    2.5572079132615217e-05    -0.0001388493147053176     9.360249861542128e-05      
MWEBV         All|All|All                                All                  All      -0.8490104060933024        -4.040051467264849        0.021704282767770477       -1.0384584933004437        
Redshift      All|All|All                                All                  All      5.997428382467282          -0.24173498544515226      2.581858471717724          -1.9170842857612724        
