#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_2     4369.393992062874    All      -1.1706380734979134        0.8137156736629514        -0.10603829414916907       0.6416372966978595        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_2     5345.496279035831    All      0.4208181215140963         0.38924545674321465       -0.04840081104870099       -0.012444161525913263     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_2    7516.168761944196    All      0.4541642150387049         -0.09810599260324793      0.10389306277521829        -0.17525630555105798      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_2    6134.110322439098    All      1.2939303823850323         -0.10667358394798043      0.05142201391299009        -0.453928062028317        
Check         All|All|All                                All                  All      0.99827464543992           0.9981815538549377        0.0008759714903383009      8.767592571345961e-06     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_2     4369.393992062874    All      -0.00036209909293602547    2.2286899928471366e-05    -0.0013025944085021388     6.707835794778625e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_2     5345.496279035831    All      2.97778848426303e-05       3.961818044975955e-05     -0.0009073844436971879     -3.728709224084219e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_2    7516.168761944196    All      -0.0001741591710127528     1.832719377675995e-05     -0.0002843594881272917     5.0009483686017516e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_2    6134.110322439098    All      -0.0003076830297329199     2.522484270680996e-05     -0.00021309268565622468    9.892969853577431e-05     
MWEBV         All|All|All                                All                  All      -0.8494818249787781        -4.040889110919288        0.012313010183014712       -1.038996874119035        
Redshift      All|All|All                                All                  All      5.863447358075991          -0.2545919980454059       1.9815237659593106         -1.90442039093973         
