#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                    
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    3686.1082492615055    All      -2.6815873042671745       0.040718996130451046       -1.7321802479010495       0.8094454744088542       
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    4414.118273144444     All      3.672312580507168         0.9597086399047328         1.744537876293073         -0.8057336324268027      
Check         All|All|All                            All                   All      0.9907252762399932        1.0004276360351838         0.012357628392023479      0.0037118419820514337    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    3686.1082492615055    All      -0.0020288542892153635    -2.1857736840506692e-06    -0.005304267125713625     0.0004234475307193962    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    4414.118273144444     All      -0.001509997366442972     -0.00039829043319170325    -0.0013248208067346923    0.0003029988543089954    
MWEBV         All|All|All                            All                   All      -0.3456469759263687       -1.7862962726958642        0.15830287786787745       -0.46220254153146456     
Redshift      All|All|All                            All                   All      8.678942671727953         1.87177068469353           6.577364409876951         -1.9238023006127951      
