#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    3686.1082492615055    All      -2.7729829299538276       0.03924383704632106        -0.8147155547528246       0.8796777641690592        
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    4414.118273144444     All      3.7608435312226263        0.9616280471561822         0.8173032151532583        -0.8753240858600807       
Check         All|All|All                            All                   All      0.9878606012687987        1.0008718842025033         0.002587660400433678      0.004353678308978481      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    3686.1082492615055    All      -0.0029395523845015046    -8.452623407996405e-06     -0.003567611234022852     0.0007955495185773216     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    4414.118273144444     All      -0.000874004457522521     -0.00024047665324887472    -0.0005363546870489722    0.00018242580200258536    
MWEBV         All|All|All                            All                   All      -0.32559926916379234      -1.784173105684772         0.07055234171546251       -0.47195705723321213      
Redshift      All|All|All                            All                   All      9.254200227354236         1.4444858738407618         2.7277687948774374        -2.4221531037834745       
