#Format:        
#Parameter MagSys|Instrument|Band RestLamb Phase dmu/dP dmB/dP ds/dP dc/dP
Zeropoint Linear_AB11_off|TONRY|TONRY_R 5146.899528960676 All 2.1092921027602287 0.7023680979282059 0.2928763844886273 -0.44521170689155737
Zeropoint Linear_AB11_off|TONRY|TONRY_V 4306.686438921399 All -0.0113237188440314 -0.0026509143055850615 -0.09288630748813764 -0.001320071526849681
Zeropoint Linear_AB11_off|TONRY|TONRY_I 6254.503432741901 All 2.5925459237518376 -0.5956774121791266 0.08104508707193747 -1.0348925599355403
Zeropoint VEGAHST|TONRY|TONRY_Z 7172.796734305021 All 0.02149429805844994 -0.003054371763855812 0.06966431509948556 -0.004887510962109522
Check All|All|All All All 4.712008605726486 0.10098539967963838 0.3506994791719127 -1.486311849316057
