#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|TONRY|TONRY_R    5146.899528960676    All      -1.2944857493713133        1.479031542498177         -0.3401510471221162        0.8882464489947103        
Zeropoint     Linear_AB11_off|TONRY|TONRY_V    4306.686438921399    All      -0.27735233051774755       0.1303325830074087        -0.19828582708312564       0.12394780300155311       
Zeropoint     Linear_AB11_off|TONRY|TONRY_I    6254.503432741901    All      2.2204709912583174         -0.49923056668781385      0.19009915773296002        -0.877413020630852        
Zeropoint     VEGAHST|TONRY|TONRY_Z            7172.796734305021    All      0.3425754061260509         -0.10767170619914168      0.3392277936144564         -0.13152211876221892      
Check         All|All|All                      All                  All      0.9912083174953071         1.0024618526186302        -0.00910992285782547       0.0032591126031925044     
Lambda        Linear_AB11_off|TONRY|TONRY_R    5146.899528960676    All      -0.000502137811175747      -4.175307963648271e-05    -0.0030692176729808477     1.2997364931885383e-05    
Lambda        Linear_AB11_off|TONRY|TONRY_V    4306.686438921399    All      -5.666220136380452e-05     1.1198538715231194e-05    -0.00019801380897963952    1.3268028745545636e-05    
Lambda        Linear_AB11_off|TONRY|TONRY_I    6254.503432741901    All      -0.00036186559310560565    3.699552295692583e-05     -0.0005550145963731199     0.00010515443529622608    
Lambda        VEGAHST|TONRY|TONRY_Z            7172.796734305021    All      -0.0002090221093763693     2.6208680528535746e-05    -0.0007858704964926523     4.155261624931977e-05     
MWEBV         All|All|All                      All                  All      -0.4704476836401974        -2.9975863342443176       0.007006564360867329       -0.8228595281064109       
Redshift      All|All|All                      All                  All      7.421463828285288          -0.452657592347272        9.516102156664779          -2.140200464224588        
