#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|DECam|DECam_z          5718.789807996225     All      1.2557108591478494         0.19416981713220594       0.2962339286990241         -0.3325592813628265       
Zeropoint     AB|DECam|DECam_i          4880.125895617743     All      0.9120865008442448         0.35592194970082147       0.9137879140336076         -0.1403829338504297       
Zeropoint     AB|DECam|DECam_r          4016.9774697450243    All      -0.943809331084254         0.37515048772220894       -1.5848243198918892        0.35890517491246715       
Zeropoint     AB|DECam|DECam_g          3022.3874636193086    All      -0.23699342263428055       0.07458928550008181       0.3886016019600609         0.11883424351885692       
Check         All|All|All               All                   All      0.9869946062735597         0.9998315400553182        0.013799124800803364       0.004797203218067883      
Lambda        AB|DECam|DECam_z          5718.789807996225     All      -0.0005054890214515712     -7.72357644239635e-05     -0.00014922793620126122    0.0001328368175140179     
Lambda        AB|DECam|DECam_i          4880.125895617743     All      -0.00014021295798436931    -6.249856269837865e-05    -0.0007821340748203939     -9.58891627504994e-06     
Lambda        AB|DECam|DECam_r          4016.9774697450243    All      -0.0006397487371787911     0.00018488984775470442    -0.0013826482718007585     0.00020691067481980183    
Lambda        AB|DECam|DECam_g          3022.3874636193086    All      -0.0007415941701864084     0.00021695525399863906    0.001034333232068148       0.0003583886244229263     
MWEBV         All|All|All               All                   All      -0.3121901184815459        -2.077531428685475        0.4117175466727298         -0.5566566795797282       
Redshift      All|All|All               All                   All      5.038983092742602          0.5723413131262234        1.532843929551128          -1.3865283912924673       
