#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4288.9035402777745    All      -0.6747585301477237        0.3996280371853622         -0.10839374636993357       0.34512593618254234       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5374.787552360296     All      0.7191920732228452         0.1739974056286009         -0.011394739797602688      -0.17809633451026574      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7386.8635258300355    All      0.41912805459957403        -0.05633121841368549       0.10356686432871327        -0.15025101387629505      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4617.862104182384     All      -0.6573835792919395        0.5581458419873009         -0.018519064822208983      0.395111501432768         
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    6087.356300476845     All      1.1927879574951339         -0.07815889727282865       0.03572533829365267        -0.4123949457399779       
Check         All|All|All                      All                   All      0.9989659758778898         0.9972811691147498         0.000984651632620695       -0.0005048565112283354    
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4288.9035402777745    All      -0.0002925197865893165     9.35591212353498e-05       -0.0004985185100511348     0.00010351201040640418    
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5374.787552360296     All      0.00017879291581081555     -3.5732970178725534e-06    -0.0004890063208228522     -8.12247813620257e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7386.8635258300355    All      -4.8833619113247876e-05    -5.40445607691353e-06      -0.00011576648916300602    8.98018046286727e-06      
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4617.862104182384     All      -9.434631827511954e-05     -8.41629103746252e-05      -0.0009259747976800502     -3.800493139468161e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    6087.356300476845     All      -0.00015289840469829907    -8.45180790657907e-06      -0.00019640780975776738    3.8286230245897684e-05    
MWEBV         All|All|All                      All                   All      -0.8572920796500982        -4.00142086387989          0.017771543294386103       -1.0233531214327234       
Redshift      All|All|All                      All                   All      4.982906614391948          -0.03713582651236891       2.2158475308139347         -1.536309879212641        
