#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4288.9035402777745    All      -0.7027020201246259        0.4287107170605431         -0.047046154602781165      0.3664388970698984         
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5374.787552360296     All      0.6735717277785216         0.16896403314961006        0.036285165827459887       -0.16274808694154708       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7386.8635258300355    All      0.5160597003176319         -0.06562150560620594       0.1887449545010189         -0.1810498850674913        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4617.862104182384     All      -0.7091535394500478        0.551510318871351          -0.2650181556769937        0.3988131501607983         
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    6087.356300476845     All      1.2207801570769417         -0.08603026531757152       0.08860079769061335        -0.42171730068758934       
Check         All|All|All                      All                   All      0.9985560255984214         0.9975332981577267         0.0015666077393172717      -0.00026322546593099405    
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4288.9035402777745    All      -0.00039335803138811483    0.00014156149365061153     -0.0005429023993004247     0.00015001364701451732     
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5374.787552360296     All      0.0002731426352920826      5.039245411393564e-06      -0.0004516100326418045     -0.0001074833760106242     
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7386.8635258300355    All      -3.594073526118249e-05     -7.057196918356666e-06     -0.00012161718721981178    3.9811021803620885e-06     
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4617.862104182384     All      -0.00020830255790455968    -1.8776443805871764e-05    -0.0009653132905127282     1.86573919538906e-05       
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    6087.356300476845     All      -5.204466796053937e-05     -2.9002973143544694e-05    -0.00023056571686724727    -2.7836509426117927e-06    
MWEBV         All|All|All                      All                   All      -0.8633695260853402        -4.00133665824951          0.021478992522466767       -1.0211806222112678        
Redshift      All|All|All                      All                   All      4.953259880912088          -0.5081408466841353        1.938804593357324          -1.6924379473310325        
