#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_I    7900.628890183       All      0.23019250891518658        -0.051869933503190246     0.025006430739858178      -0.09076109492085221       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_V    5348.347295422692    All      0.21715709924625676        0.14354485979461984       0.07311812254456253       -0.020715002170368688      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_B    4460.150932150409    All      -0.7674455518064057        0.5425086240832044        -0.14920258247434404      0.4200369453063926         
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_B    4333.063245473161    All      -0.4386024496779433        0.30111680361297744       -0.010346651007987973     0.24048917332339623        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_I    8236.575098954687    All      0.128764041857561          -0.028364014983495167     0.026874178060758244      -0.04998250633444048       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_R    6376.500403471448    All      0.7508688092489832         -0.09836166835510696      -0.012823014718461883     -0.277194537661407         
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_V    5394.140125599253    All      0.4406928933274923         0.24405050134737039       -0.01806340523465439      -0.06485898322386631       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_R    6374.154002574633    All      0.43572380590510496        -0.05587376416249512      0.06587941866192244       -0.15718960576902824       
Check         All|All|All                       All                  All      0.9973511570162357         0.9967514078338846        0.0004424965716531143     -0.00017561145017414015    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_I    7900.628890183       All      3.272182239722092e-05      2.3594002746320045e-06    0.00010484117537979556    -5.211459640246555e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_N2_V    5348.347295422692    All      8.473754667170625e-05      4.842153895464428e-05     -0.0001521640829104635    -1.8619702630552267e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_B    4460.150932150409    All      -0.0003881836920718875     0.00014060190240550722    -0.0006556071494340857    0.00014298612866609934     
Lambda        Linear_AB11_off|LOSS|LOSS_N2_B    4333.063245473161    All      -0.00015980347052690637    9.474647746479564e-05     -7.399172550339331e-05    7.961338162792739e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_N2_I    8236.575098954687    All      -4.703137562345405e-06     4.685928249127593e-07     -5.33238901046046e-06     1.446642701245955e-06      
Lambda        Linear_AB11_off|LOSS|LOSS_K4_R    6376.500403471448    All      -0.00020655034848362619    -2.575487581692875e-05    -0.0005197482721815891    3.569705517192825e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K4_V    5394.140125599253    All      8.178591107404839e-05      -4.283085147378948e-05    -0.0009858711631636834    -8.458668140106271e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_N2_R    6374.154002574633    All      -8.67944472703437e-05      9.478335111243815e-06     -3.536167462941741e-05    2.9781183373732026e-05     
MWEBV         All|All|All                       All                  All      -0.8672059353477541        -4.123829008279722        0.006417980029698281      -1.0605028695986645        
Redshift      All|All|All                       All                  All      3.267120736235388          -0.03223430854373266      -1.089418349918757        -1.1233242210807788        
