#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_I    7900.628890183       All      0.26077012578169567        -0.06122440260329931       0.016209375758102773       -0.10416086120721008      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_V    5348.347295422692    All      0.22442168490434117        0.1460433272013617         0.11904447830046738        -0.020218001360200466     
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_B    4460.150932150409    All      -0.7995633284439281        0.5602906881943426         -0.15875269485086108       0.4358647874409455        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_B    4333.063245473161    All      -0.4232875418308516        0.291745592869308          0.0039013526536679777      0.23308391531391276       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_I    8236.575098954687    All      0.12274520863821761        -0.0271220711412834        0.03020415694927614        -0.04746883070926716      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_R    6376.500403471448    All      0.7728964162641759         -0.10586979219326942       -0.026590095528045143      -0.28742965848364416      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_V    5394.140125599253    All      0.4567416397318626         0.2430813713851787         -0.04978915692466224       -0.0718180400147761       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_R    6374.154002574633    All      0.3825474233111276         -0.04989048584205236       0.06655247741300663        -0.13788932239335444      
Check         All|All|All                       All                  All      0.9972716283566412         0.9970542278702865         0.0007798937709524445      -3.601141359416138e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_I    7900.628890183       All      4.838894477923296e-05      3.049617786799053e-06      0.00014599213908383539     -8.253551771318716e-06    
Lambda        Linear_AB11_off|LOSS|LOSS_N2_V    5348.347295422692    All      5.455065538637831e-05      5.9208855146171844e-05     -0.00015844779578479782    -5.553468489486569e-06    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_B    4460.150932150409    All      -0.00043326614234522124    0.00015868068827374685     -0.0007446148017148942     0.00015958781849642593    
Lambda        Linear_AB11_off|LOSS|LOSS_N2_B    4333.063245473161    All      -0.0001694154587905454     9.598958061215478e-05      -8.991279952612895e-05     8.243875761160278e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_N2_I    8236.575098954687    All      -1.013781962921903e-06     -3.9107009052740136e-08    -3.4519806238232926e-06    1.634376574610331e-07     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_R    6376.500403471448    All      -0.0002258405136187809     -3.6028420584562316e-05    -0.0006365673999107585     3.342096392392335e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_V    5394.140125599253    All      9.235346291697744e-05      -2.7220261625897477e-05    -0.001050548592251063      -8.583025461930638e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_N2_R    6374.154002574633    All      -8.644116830675995e-05     8.981502287210593e-06      -4.100649286651673e-05     2.925237168444878e-05     
MWEBV         All|All|All                       All                  All      -0.8717576122704305        -4.122709503186828         0.013696043424760163       -1.058330792497461        
Redshift      All|All|All                       All                  All      2.9903113675318287         -0.16213893173904204       -1.05141282881005          -1.073776500592133        
