#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i         7497.00192254461      All      0.20289959063093932        -0.03571724603577131       0.02888426077185262        -0.07643638206546151       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5444.163292838518     All      0.3941791849799072         0.08751973490768172        -0.0041204745161937005     -0.10007294953776678       
Zeropoint     AB|CNIa02|SDSS_g                      4697.660090801079     All      -0.36282325758806866       0.36104298881940444        0.13569699253372464        0.24184258449009557        
Zeropoint     AB|CNIa02|SDSS_r                      6138.437404421962     All      0.5819339637094024         -0.06058414168852444       0.005382732487639079       -0.20904907851697732       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4351.6661450957445    All      -0.408611262224226         0.22784619817408647        -0.1694856571811182        0.1997517672197066         
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g         4686.714591658994     All      -0.3494473468300347        0.3063545867620032         0.015488612097084258       0.21430745063496368        
Zeropoint     AB|CNIa02|SDSS_i                      7443.928242452452     All      0.22225066872878602        -0.036046966044134265      0.061172236547670907       -0.08140620142211381       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B         4352.85124391923      All      -0.23040583988486862       0.1341892360871011         -0.07324289962026645       0.11549211684820626        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V         5454.92582506947      All      0.3744012900861893         0.07008402776071954        -0.0038121569596953706     -0.09929626313646515       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r         6178.1189984501425    All      0.572667897056333          -0.05824133279803689       0.004604616360419612       -0.2053024095807793        
Check         All|All|All                           All                   All      0.9970448886643594         0.9964470859445296         0.0005682625211174         -0.00016936506659173678    
Lambda        Linear_AB11_off|LCOGT|LCOGT_i         7497.00192254461      All      -4.531190980108902e-05     -1.994669846235939e-06     -0.00010751706705605572    9.311857253476694e-06      
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5444.163292838518     All      2.4621754792006735e-06     -1.590515888790825e-05     -0.0004059708259778794     -2.409945847754997e-05     
Lambda        AB|CNIa02|SDSS_g                      4697.660090801079     All      -3.81951621567203e-05      -5.094934985031289e-05     -0.0004150554538275179     -2.267647715568813e-05     
Lambda        AB|CNIa02|SDSS_r                      6138.437404421962     All      -4.5129437727749305e-05    -1.2369901120230556e-05    -0.00019710782371020076    1.874841941114412e-06      
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4351.6661450957445    All      -0.00014931827449594275    3.6001175179344815e-05     -0.0003465579445312065     4.4899352206681516e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_g         4686.714591658994     All      -1.561374864752787e-05     -3.132419356139875e-05     -0.000282598018016199      -1.7728460385045652e-05    
Lambda        AB|CNIa02|SDSS_i                      7443.928242452452     All      -3.90333532020534e-05      4.722673876504344e-07      -7.017141886043352e-05     9.736852184307636e-06      
Lambda        Linear_AB11_off|LCOGT|LCOGT_B         4352.85124391923      All      -6.1108950022564e-05       2.7075049423526623e-05     -7.373416228925068e-05     2.5434012772789344e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_V         5454.92582506947      All      1.489815913371645e-05      -1.4231790733780369e-05    -0.0003988227367613977     -2.7286210033813786e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_r         6178.1189984501425    All      -0.00012312982026511837    2.977915136684232e-06      -0.00010661526338339864    3.6319688703021826e-05     
MWEBV         All|All|All                           All                   All      -0.8920693563393751        -4.078239144188478         0.010062410276654485       -1.037391282619284         
Redshift      All|All|All                           All                   All      4.15264919256262           0.5602367810162878         1.5994073732809848         -1.098792704041315         
