#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i         7497.00192254461      All      0.22679425289993482        -0.037607484174406736      0.04863472605226571        -0.08395399987139451       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5444.163292838518     All      0.41708873264364316        0.08676353525873814        0.0008746893362054919      -0.10755875079669214       
Zeropoint     AB|CNIa02|SDSS_g                      4697.660090801079     All      -0.3115922049142452        0.31455184600597264        0.15041578630696772        0.2106680826202842         
Zeropoint     AB|CNIa02|SDSS_r                      6138.437404421962     All      0.5622836213614665         -0.05758662734174358       0.011795147763193903       -0.20138576985656437       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4351.6661450957445    All      -0.45599170786259985       0.2442766617387182         -0.21325850928408663       0.2185836983157649         
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g         4686.714591658994     All      -0.3751468146812571        0.3137743318115671         -0.042104955085209284      0.22252533148083078        
Zeropoint     AB|CNIa02|SDSS_i                      7443.928242452452     All      0.21545682577722197        -0.03493229673412479       0.054540181395512644       -0.07912609695770734       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B         4352.85124391923      All      -0.2697266244275617        0.15293957832080984        -0.09563177520138799       0.133408680633805          
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V         5454.92582506947      All      0.3946156696088191         0.06932750351178463        0.029322027010081353       -0.1046485499663366        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r         6178.1189984501425    All      0.5951731052921448         -0.05619686680664593       0.05352680398527099        -0.2097839739259963        
Check         All|All|All                           All                   All      0.9989548556975666         0.9953101815906695         -0.001885877721186091      -0.0012713483240063828     
Lambda        Linear_AB11_off|LCOGT|LCOGT_i         7497.00192254461      All      -5.127644844132636e-05     4.5364500426461666e-07     -0.00010075485809120313    1.23539667384678e-05       
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5444.163292838518     All      -4.8845859031019235e-05    -9.82038718190087e-06      -0.0004329913828979763     -6.6105366800991525e-06    
Lambda        AB|CNIa02|SDSS_g                      4697.660090801079     All      0.00010380447284952747     -0.00012578166304781971    -0.0005223813459826821     -9.80952378817507e-05      
Lambda        AB|CNIa02|SDSS_r                      6138.437404421962     All      -6.812987038223216e-05     -1.763906178214509e-05     -0.00023793040035604787    5.828776466224267e-06      
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4351.6661450957445    All      -0.00015528163747957537    2.340632024260746e-05      -0.00034630598754119925    4.275050079121776e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_g         4686.714591658994     All      -4.3209208724904066e-05    -4.634183569614432e-05     -0.0002960565750303789     -1.4232044869837843e-05    
Lambda        AB|CNIa02|SDSS_i                      7443.928242452452     All      -4.451822892718543e-05     1.8797610403437909e-06     -6.506648308503491e-05     1.2209733480416757e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_B         4352.85124391923      All      -7.558191310275892e-05     2.3009805505355945e-05     -8.263185803647908e-05     2.8427086012090304e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_V         5454.92582506947      All      -1.6369560209580092e-05    -1.1457878273414687e-05    -0.0004277549552579279     -1.748884264956701e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_r         6178.1189984501425    All      -0.00016939837149232225    1.8427492095135462e-06     -0.0001870178095847948     4.7433120778084336e-05     
MWEBV         All|All|All                           All                   All      -0.894633047350998         -4.07643289734998          0.018583560709029          -1.0355875902872458        
Redshift      All|All|All                           All                   All      4.598577805549563          0.9613486395725346         2.287408469723251          -1.082688666327343         
