#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|MEGACAMPSF|z           5131.825520054481     All      0.9383481174165621        0.1147799630077273        -0.18579765510203794      -0.2765545384878873       
Zeropoint     AB|MEGACAMPSF|i           4458.9699371098195    All      1.9504098819113536        0.7305410259743184        0.5455979384137666        -0.37300388872128637      
Zeropoint     AB|MEGACAMPSF|r           3639.0436412897593    All      -1.8842807063637401       0.15401077244003858       -0.3576217903105028       0.6479795744401433        
Check         All|All|All               All                   All      1.0044772929641754        0.9993317614220842        0.0021784930012258563     -0.0015788527690303589    
Lambda        AB|MEGACAMPSF|z           5131.825520054481     All      0.0006260396510019888     5.295839182267316e-05     -0.0003194436183688019    -0.0002009267214644435    
Lambda        AB|MEGACAMPSF|i           4458.9699371098195    All      -0.0005501321692007635    -0.0002628214275761553    -0.0031175731117433552    -4.553640869193208e-05    
Lambda        AB|MEGACAMPSF|r           3639.0436412897593    All      -0.004032026775971078     0.0001630672448924152     -0.002568889074610054     0.0012518424161700053     
MWEBV         All|All|All               All                   All      -0.18452435799036682      -1.9002480708108394       -0.015514567715613214     -0.5595600028004923       
Redshift      All|All|All               All                   All      9.457165828325785         1.3054348092543577        8.98316008544403          -2.254409800444819        
