#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|MEGACAMPSF|r           4029.019659633318     All      -0.9227896081813431       0.408956595848764         -0.06156301443307477       0.43104627721588795       
Zeropoint     AB|MEGACAMPSF|i           4925.795938622698     All      1.6482706944795456        0.45038204046861097       -0.6452790381906715        -0.41898758379252665      
Zeropoint     AB|MEGACAMPSF|g           3157.188914467529     All      -0.4036724426679039       0.07977212286238711       0.23050682769003572        0.16776026088723972       
Zeropoint     AB|MEGACAMPSF|z           5677.4498639331305    All      0.6662638504006444        0.060938567505175456      0.48584483320317506        -0.17549333574808923      
Check         All|All|All               All                   All      0.9880724940309431        1.0000493266849375        0.009509608269464565       0.0043256185625117904     
Lambda        AB|MEGACAMPSF|r           4029.019659633318     All      -0.000663245940040949     0.00026473002565824877    -0.00040095824236423966    0.0002843793767085658     
Lambda        AB|MEGACAMPSF|i           4925.795938622698     All      -0.0002686916124816411    -4.519212206451056e-05    -0.0016456754736107035     -6.378011294904995e-07    
Lambda        AB|MEGACAMPSF|g           3157.188914467529     All      -0.001210806116855717     0.00023478607761512446    0.000631019520655503       0.0004990364393487445     
Lambda        AB|MEGACAMPSF|z           5677.4498639331305    All      4.516425736563165e-05     2.2400194247503288e-06    1.3066460844120972e-05     -1.339874032743868e-05    
MWEBV         All|All|All               All                   All      -0.35006473159072393      -2.2040564177379096       0.12938564796789453        -0.5981321994708744       
Redshift      All|All|All               All                   All      3.5136410398395217        -0.14328237711165315      0.23200185170216825        -1.1808270890123707       
