#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|MEGACAMPSF|r           4029.019659633318     All      -0.9085023599146084       0.345462847249145          -0.4178361099046163        0.38981161566997424       
Zeropoint     AB|MEGACAMPSF|i           4925.795938622698     All      1.4887783156285295        0.5055126953234179         -0.1645028258045246        -0.3276229665929418       
Zeropoint     AB|MEGACAMPSF|g           3157.188914467529     All      -0.3886814361600938       0.08174991709211099        0.1686088740236236         0.16075920814118608       
Zeropoint     AB|MEGACAMPSF|z           5677.4498639331305    All      0.7975498655764475        0.06720738896675016        0.4208651096735962         -0.2191152953043696       
Check         All|All|All               All                   All      0.9891443851302747        0.9999328486314241         0.007135047988078902       0.0038325619138488976     
Lambda        AB|MEGACAMPSF|r           4029.019659633318     All      -0.0005628863726916463    0.00020116026740490373     -0.00042242156252469325    0.00023002439284386552    
Lambda        AB|MEGACAMPSF|i           4925.795938622698     All      -0.0003503454882840062    -0.00010265436203658472    -0.0014449210917803154     1.6200956571178598e-05    
Lambda        AB|MEGACAMPSF|g           3157.188914467529     All      -0.000964666609911        0.0002051731425140582      0.00041983994439289595     0.00039979082241266615    
Lambda        AB|MEGACAMPSF|z           5677.4498639331305    All      9.822856556710445e-06     9.556857361113356e-07      6.604153158028903e-06      -2.593616233859658e-06    
MWEBV         All|All|All               All                   All      -0.37714205115192545      -2.1943685048976036        0.11747467502245798        -0.586688085754919        
Redshift      All|All|All               All                   All      3.0701170279828927        0.26604338589812926        0.12736574326392897        -0.9076952883575261       
