#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_z            6798.605919983734     All      0.17009047087864454        0.027111490023834506       0.3474803344171775        -0.03106650652757547       
Zeropoint     AB|SDSS|SDSS_g            3608.6758517543353    All      -1.089186830247105         0.33696825357125704        -0.34395330192953383      0.4491965737635231         
Zeropoint     AB|SDSS|SDSS_i            5718.320093727648     All      1.1007268403964185         0.16602902302071953        -0.604391313142645        -0.3314330382007301        
Zeropoint     AB|SDSS|SDSS_r            4715.460548586783     All      0.815826489779873          0.4687444586933154         0.6039504243381248        -0.08610450259030446       
Check         All|All|All               All                   All      0.9974569708078312         0.9988532253091265         0.0030861436831235434     0.0005925264449130746      
Lambda        AB|SDSS|SDSS_z            6798.605919983734     All      -9.141773136237276e-05     -1.4351303003847714e-05    -0.0001892559369282867    1.6657447882524356e-05     
Lambda        AB|SDSS|SDSS_g            3608.6758517543353    All      -0.0019839656147666303     0.0004538575103505049      -0.0023665255061746226    0.00068847202956717        
Lambda        AB|SDSS|SDSS_i            5718.320093727648     All      -0.00028045441314908067    -3.3169153326272476e-05    0.0002897308977630543     9.347830384897285e-05      
Lambda        AB|SDSS|SDSS_r            4715.460548586783     All      -0.00022245830021814768    -9.891589035188122e-05     -0.0011668558382015577    -1.1829589565911063e-05    
MWEBV         All|All|All               All                   All      -0.577518999536244         -2.8150525980839447        0.1124104157836378        -0.7238219451418053        
Redshift      All|All|All               All                   All      6.935454123926566          -0.36173026082177984       -2.085209805518602        -2.469986360946057         
