#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_z            6798.605919983734     All      0.1823141294568951         0.03424610570821329        0.43589432846375953       -0.028778664739135748     
Zeropoint     AB|SDSS|SDSS_g            3608.6758517543353    All      -1.1028930665408225        0.2980424047168029         -0.8416461149118596       0.41877197182889275       
Zeropoint     AB|SDSS|SDSS_i            5718.320093727648     All      1.053338528114566          0.16510266175284727        -0.3502432458734236       -0.30495739122031845      
Zeropoint     AB|SDSS|SDSS_r            4715.460548586783     All      0.8655101992395258         0.5012005722447199         0.7594144987095968        -0.08477844973016         
Check         All|All|All               All                   All      0.9982697902701643         0.9985917444225834         0.0034194663880731113     0.0002574661392785449     
Lambda        AB|SDSS|SDSS_z            6798.605919983734     All      -6.601843295780607e-05     -7.347872478761842e-06     -6.612125731239281e-05    1.6160243722230102e-05    
Lambda        AB|SDSS|SDSS_g            3608.6758517543353    All      -0.0018767364018719593     0.00042238009837401914     -0.002559848275107959     0.0006346636112560874     
Lambda        AB|SDSS|SDSS_i            5718.320093727648     All      -0.00026336702235880445    -4.0925824445456944e-05    0.000292599052106949      8.551376809511386e-05     
Lambda        AB|SDSS|SDSS_r            4715.460548586783     All      -0.00024098545753158834    -8.477868815329077e-05     -0.0007992906568188412    1.5213012831959709e-05    
MWEBV         All|All|All               All                   All      -0.5910731110447411        -2.813574081016945         0.09074595816908788       -0.7198921086980583       
Redshift      All|All|All               All                   All      6.14245016322363           -0.45321008218568437       -5.982100929559414        -2.415377222397054        
