#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|DECam|DECam_i          5862.41792298712      All      0.6027552477229418        -0.04760798803342681      -3.66654222337649         -0.37546564181073216       
Zeropoint     AB|DECam|DECam_z          6869.891594046534     All      0.9057967827331297        0.08145738042983908       2.1067646551438446        -0.17449923275198176       
Zeropoint     AB|DECam|DECam_r          4825.531393773141     All      0.2722375781437071        0.5502479307409658        1.6654819139891863        0.16487992664943885        
Zeropoint     AB|DECam|DECam_g          3630.7461766189845    All      -0.782263750132832        0.4158068888319377        -0.07205465192757776      0.3870355542836129         
Check         All|All|All               All                   All      0.9985258584669465        0.9999042119693158        0.03364969382896321       0.0019506063703378373      
Lambda        AB|DECam|DECam_i          5862.41792298712      All      3.225465577375884e-05     4.688950230270408e-05     0.0008924944331369238     4.4594978458861175e-05     
Lambda        AB|DECam|DECam_z          6869.891594046534     All      -0.0005345732962297089    -4.225742490341635e-05    -0.0011889291342960231    0.00010730702929242263     
Lambda        AB|DECam|DECam_r          4825.531393773141     All      3.578680398162905e-05     3.69857036359179e-05      -0.0006320052456564026    -2.7812970358514112e-05    
Lambda        AB|DECam|DECam_g          3630.7461766189845    All      -0.001560343432541236     0.0007016478404293635     -0.0012931893421930366    0.0006790958739707341      
MWEBV         All|All|All               All                   All      -0.4479140609961627       -2.7638857319129073       0.08287242272553286       -0.7506899508154224        
Redshift      All|All|All               All                   All      7.956441144439216         -0.5476062635779044       13.434533281078897        -2.1705264978857692        
