#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|DECam|DECam_i          5862.41792298712      All      0.6208128244119657        0.011369249346238064       -2.6285820301191163       -0.31581736586060155       
Zeropoint     AB|DECam|DECam_z          6869.891594046534     All      0.72203217140052          0.0814396833780151         1.5875634399148384        -0.13781638330754792       
Zeropoint     AB|DECam|DECam_r          4825.531393773141     All      0.42963837660056114       0.5525592594064932         1.4297597089640364        0.10384298466905703        
Zeropoint     AB|DECam|DECam_g          3630.7461766189845    All      -0.7755750049881391       0.35407341526987324        -0.3697435413996023       0.35146369872516836        
Check         All|All|All               All                   All      0.9969083674249077        0.9994416074006196         0.01899757736015617       0.0016729342260759505      
Lambda        AB|DECam|DECam_i          5862.41792298712      All      -6.042129193265868e-05    1.196510774199084e-05      0.0006370873211198502     5.2008912921195116e-05     
Lambda        AB|DECam|DECam_z          6869.891594046534     All      -0.0005248813989661627    -5.682318737029466e-05     -0.00115838414224881      0.00010076859417191567     
Lambda        AB|DECam|DECam_r          4825.531393773141     All      -6.794871032874593e-05    -1.7872658968974037e-05    -0.0007727698256666957    -1.8173750735037596e-05    
Lambda        AB|DECam|DECam_g          3630.7461766189845    All      -0.0014130117875644221    0.0005018097481933762      -0.0021628662982917093    0.0005272015807465258      
MWEBV         All|All|All               All                   All      -0.48035184068714676      -2.7460904625622007        0.14751257920555014       -0.7314428008221152        
Redshift      All|All|All               All                   All      7.385731241161377         0.11774456267943378        10.271455448713743        -1.9090544892534727        
