#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_i            5852.694369945638    All      1.0868314894770326         0.09869364312269369        -0.4685388574129812        -0.34277774261235094      
Zeropoint     AB|SDSS|SDSS_z            6958.365733148307    All      0.1514474944899157         0.01365784342901577        0.10528850739035533        -0.04018407998319911      
Zeropoint     AB|SDSS|SDSS_g            3693.475792600026    All      -0.9510704364502884        0.38475152717314387        -0.24633955163130272       0.4241281579967244        
Zeropoint     AB|SDSS|SDSS_r            4826.268720893519    All      0.7105203937220037         0.5017004786790125         0.617379132607454          -0.040468721132172654     
Check         All|All|All               All                  All      0.9977289412386636         0.9988034924038658         0.007789230953525461       0.0006976142690016604     
Lambda        AB|SDSS|SDSS_i            5852.694369945638    All      -0.00016832061672174273    -2.845209467579379e-05     0.00012875232626462284     5.130540415120595e-05     
Lambda        AB|SDSS|SDSS_z            6958.365733148307    All      -6.937676488693517e-05     -1.1146925334333106e-05    -0.00011401903734817045    1.3879228480750069e-05    
Lambda        AB|SDSS|SDSS_g            3693.475792600026    All      -0.0018559805793668827     0.0005559207908224018      -0.00222835887095576       0.0006861942035401777     
Lambda        AB|SDSS|SDSS_r            4826.268720893519    All      -0.0001866594472952998     -2.1280571738960747e-05    -0.0008096708099530615     1.7737451007416814e-05    
MWEBV         All|All|All               All                  All      -0.5388051833863119        -2.9185328555453083        0.16486541173156288        -0.7677984074110007       
Redshift      All|All|All               All                  All      4.315161733331239          -0.7914792638240797        -0.6478154375871292        -1.692310003942917        
