#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_i            5852.694369945638    All      1.2247583733608964         0.11944473186566995        -0.3558866453100252       -0.37591860322563514       
Zeropoint     AB|SDSS|SDSS_z            6958.365733148307    All      0.14649773483755085        0.017589892779490413       0.1474573341137844        -0.03540918152588664       
Zeropoint     AB|SDSS|SDSS_g            3693.475792600026    All      -1.0637334533051563        0.41086405911592294        -0.31893199671607997      0.4660924524009695         
Zeropoint     AB|SDSS|SDSS_r            4826.268720893519    All      0.6895279539469144         0.45080539323834046        0.5290153995629213        -0.05415226415910543       
Check         All|All|All               All                  All      0.997050608840205          0.9987040769994238         0.0016540916506005976     0.0006124034903423337      
Lambda        AB|SDSS|SDSS_i            5852.694369945638    All      -0.00019507683408721697    -6.055406431222464e-06     0.0002968561633626917     7.481782476764928e-05      
Lambda        AB|SDSS|SDSS_z            6958.365733148307    All      -6.735335616320351e-05     -9.531014455421161e-06     -8.363757558286544e-05    1.5102278127990159e-05     
Lambda        AB|SDSS|SDSS_g            3693.475792600026    All      -0.0019511961954842144     0.0006086631243745291      -0.0018098711338215931    0.0007530641610831223      
Lambda        AB|SDSS|SDSS_r            4826.268720893519    All      -5.2578371192969046e-05    -2.3959330396479577e-05    -0.0007248876330348651    -2.3026242647976242e-05    
MWEBV         All|All|All               All                  All      -0.5418781605052896        -2.9241643585415034        0.10077583371253286       -0.7714918269764159        
Redshift      All|All|All               All                  All      4.624837053437757          -0.827766836460242         0.23999276224217247       -1.7653826975474989        
