#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|DECam|DECam_i          6049.867143885466     All      1.0380863899645543         0.03756067745062097       -0.4989783854834213       -0.3481712545033101       
Zeropoint     AB|DECam|DECam_z          7089.55451195464      All      0.6157155686139735         -0.02029985179934357      0.4333474641908763        -0.18783283968051043      
Zeropoint     AB|DECam|DECam_r          4979.82644951055      All      -0.004713245888586459      0.5632311726300188        0.16904740541678198       0.19254199122498514       
Zeropoint     AB|DECam|DECam_g          3746.8382995326815    All      -0.6542882885113602        0.41878303120927995       -0.10192921829571652      0.3449859989622564        
Check         All|All|All               All                   All      0.9948004241785808         0.9992750294905761        0.0014872658285204066     0.0015238960034210103     
Lambda        AB|DECam|DECam_i          6049.867143885466     All      -0.0001242427237531005     -2.207262928310061e-05    -0.0002720504577945662    2.1139798616333653e-05    
Lambda        AB|DECam|DECam_z          7089.55451195464      All      -0.00036062889124546414    -7.617283327774623e-06    -0.0005867981451613993    8.880138828357583e-05     
Lambda        AB|DECam|DECam_r          4979.82644951055      All      -0.000192050497058912      -6.755572731352568e-05    -0.001733415378864368     -3.680232480750231e-05    
Lambda        AB|DECam|DECam_g          3746.8382995326815    All      -0.0011694507224869095     0.0006638326760811285     -0.0005650886808253858    0.0005719434036791402     
MWEBV         All|All|All               All                   All      -0.45612872383751046       -2.9031317765001674       0.052765309741749346      -0.7947147248299795       
Redshift      All|All|All               All                   All      7.702520350309701          -0.2413243524488351       9.19590570808591          -2.177200527931846        
