#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|CNIa02|SDSS_r                      6118.009351118971     All      1.1696150144660291         -0.1137605971365474        -0.029545051688828483      -0.41935611846382614      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4337.184272574767     All      -1.1367594334168287        0.8020756340719082         -0.12897998025764856       0.6257865831248988        
Zeropoint     AB|CNIa02|SDSS_i                      7419.155657362488     All      0.499262761898023          -0.1103770517304703        0.08890355683599527        -0.19461238643060652      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5426.0457084095915    All      0.4653652937199123         0.4206651884897994         0.07160854315264586        -0.011364734468469195     
Check         All|All|All                           All                   All      0.9974836366671358         0.9986031736946899         0.0019870680421640863      0.00045334376199690496    
Lambda        AB|CNIa02|SDSS_r                      6118.009351118971     All      -0.00015788504462823527    -2.2871372710555996e-05    -0.00034647310557429147    2.8516891353094896e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4337.184272574767     All      -0.000323569146165704      8.884314632348302e-05      -0.0006439346411589245     0.00010560040607505354    
Lambda        AB|CNIa02|SDSS_i                      7419.155657362488     All      -7.420902682781927e-05     -2.432654699672284e-05     -0.0002944263467384513     3.1094691621917265e-06    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5426.0457084095915    All      2.678174879701536e-05      -6.781651209494261e-05     -0.0008653650829668847     -6.943103493759648e-05    
MWEBV         All|All|All                           All                   All      -0.8988694599962304        -4.055062140950483         0.008600590366114602       -1.0276919869948191       
Redshift      All|All|All                           All                   All      5.151689935330976          -0.06883149608789552       1.3385681975068286         -1.640761429433367        
