#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|CNIa02|SDSS_r                      6118.009351118971     All      1.1703857967851075         -0.11352916129974133       -0.001413684724173564      -0.418276427652137         
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4337.184272574767     All      -1.0917608881064802        0.7816136617028846         -0.10492936178405807       0.6055372075716446         
Zeropoint     AB|CNIa02|SDSS_i                      7419.155657362488     All      0.47377489938370015        -0.10812461796856354       0.08537637889667017        -0.18573386105648856       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5426.0457084095915    All      0.44490343006356964        0.4384503267243822         0.021564034214537845       -0.001139684251399262      
Check         All|All|All                           All                   All      0.9973032381258969         0.998410209158962          0.0005973666029763826      0.00038723461161979905     
Lambda        AB|CNIa02|SDSS_r                      6118.009351118971     All      -0.00013174436330643086    -5.2853821069054615e-05    -0.0005656388051209128     4.5538304098084844e-07     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4337.184272574767     All      -0.00037302158216874807    0.00015068524558217605     -0.0005599324694833249     0.00014560132880511682     
Lambda        AB|CNIa02|SDSS_i                      7419.155657362488     All      -7.468637581620357e-05     -3.009050728423186e-05     -0.00033483313508432826    -4.1572344448901157e-07    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5426.0457084095915    All      1.6881287565533916e-05     -2.4644527679600756e-05    -0.0008323301899408682     -5.066939780685135e-05     
MWEBV         All|All|All                           All                   All      -0.8949524830278781        -4.057319242923008         0.00635780619575761        -1.0298031727838146        
Redshift      All|All|All                           All                   All      5.053977086088406          -0.34876897060280854       1.717941605206834          -1.6831882921100583        
