#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_B    4182.62550999828     All      -0.3825238376194079        0.2500212138109248         -0.03832429015596513       0.20433049631236663       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_R    6152.85252613824     All      0.5061885492863439         -0.05404123268357708       -0.3290156037311398        -0.1971677262804844       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_B    4305.30089463714     All      -0.6058653894317394        0.40340098679489955        -0.09377557364371038       0.324566489458453         
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_I    7626.330397007702    All      0.3102293182334616         -0.049245845713752345      0.23428537291687096        -0.10663780711974027      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_I    7950.613035684541    All      0.17742691897124824        -0.054628049743232765      -0.11873310608971124       -0.0808864508953653       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_V    5206.863324094656    All      0.09941991852547874        0.30011069983961747        0.06922971288040773        0.0684609941298875        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_V    5162.660355243092    All      0.03828595228656764        0.24763151102318304        0.08318725753012898        0.07190300098314106       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_R    6155.117463364337    All      0.8532742290752128         -0.04639631717386905       0.19349070629600265        -0.2844176936438207       
Check         All|All|All                       All                  All      0.9964356593271655         0.9968529661541936         0.0003444760028838423      0.000151302944437548      
Lambda        Linear_AB11_off|LOSS|LOSS_N2_B    4182.62550999828     All      -0.00019445836731746106    0.00010868965943834798     -0.00010924599973937129    9.387013836857172e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_N2_R    6152.85252613824     All      -0.00012575720858941258    2.5205739443401134e-06     -0.00010745607131268188    3.6989023050135274e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_B    4305.30089463714     All      -0.0002178925719391842     0.00010277369338562955     -0.0002393207190737235     9.377176769111194e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_I    7626.330397007702    All      -8.658909806647765e-05     1.3649786551570926e-05     -7.253488760760156e-05     2.9414203588210804e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_N2_I    7950.613035684541    All      -2.7592306863462286e-05    -2.4749362463543382e-06    -7.856075797067348e-05     4.675748135220091e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_V    5206.863324094656    All      -3.275014275119489e-05     7.992289567633719e-05      -0.000453690328363518      1.6455199818153127e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_N2_V    5162.660355243092    All      -8.958988901714733e-05     3.2780267148338507e-05     -0.0006512297690670933     1.0798592118336823e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_R    6155.117463364337    All      -0.00020825831372453096    5.687450676540579e-06      -0.00017882825635793094    6.170889031922964e-05     
MWEBV         All|All|All                       All                  All      -0.7875031587908277        -3.9472634300729226        0.008319563690589747       -1.0288666094646528       
Redshift      All|All|All                       All                  All      5.377135912836447          0.20393492640486954        1.2667369173466114         -1.6285531038290202       
