#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_B    4182.62550999828     All      -0.45915281201180447       0.24420672430354173        -0.23092418428123374       0.21880225507127596       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_R    6152.85252613824     All      0.3170868761304418         -0.06220597960568952       -0.6894771858578785        -0.15431636162822823      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_B    4305.30089463714     All      -0.8967885602255767        0.5122533853408662         -0.2614592050687037        0.4473035942905637        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_I    7626.330397007702    All      0.3814699836509005         -0.025182495118869497      0.5316075905386963         -0.10873688562409402      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_I    7950.613035684541    All      0.13273482949523854        -0.030997122600773253      -0.07550467942278871       -0.05670231048108595      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_V    5206.863324094656    All      0.5343461878043037         0.340234902572778          0.7520059573753457         -0.029669859632281206     
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_V    5162.660355243092    All      -0.03301371831015813       0.05728086875338434        -0.6194886437507652        0.0017669846481067203     
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_R    6155.117463364337    All      0.9843662673315927         -0.03325240293881038       0.5079797433339195         -0.30880307668848733      
Check         All|All|All                       All                  All      0.9610490538649377         1.0023378807064276         -0.08526060713340833       0.009644339955769687      
Lambda        Linear_AB11_off|LOSS|LOSS_N2_B    4182.62550999828     All      -0.00017910147655676668    5.773024769209322e-05      -0.0001999372094770886     6.822160473957615e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_N2_R    6152.85252613824     All      -0.00012176916679962598    -5.476866308102913e-06     -0.00019263906904297163    2.9283631280988913e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_B    4305.30089463714     All      -0.00028878218656985463    5.099749553580031e-05      -0.0006226620774455243     8.289087214840982e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_I    7626.330397007702    All      -4.5063551807521794e-05    1.1984481527399887e-05     2.097908142890451e-05      1.9518621332469577e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_N2_I    7950.613035684541    All      -1.6347536059414297e-05    6.725290677807537e-07      -2.5471634295253874e-05    4.407313103825821e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_V    5206.863324094656    All      7.437162365902435e-05      5.699056851234476e-05      -0.0005695669612443049     -3.107873903490208e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_N2_V    5162.660355243092    All      -0.00017133757256437298    -3.6695583322799317e-06    -0.0009412661988808853     1.2610600972446827e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_R    6155.117463364337    All      -0.00035625270301171215    -2.4871629957999654e-05    -0.0007092059857696832     7.629311172744817e-05     
MWEBV         All|All|All                       All                  All      -0.8450572711267719        -3.9307069555877483        -0.018984132119159725      -1.005944791713779        
Redshift      All|All|All                       All                  All      5.13008974540176           0.754963117214924          2.9301952119686447         -1.2943615257808248       
