#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                    dmB/dP                   ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5051.495705872077    All      3.8211813623852784        0.24753111704551856      0.24377970618087957        -1.1531766858609054       
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4218.364538578556    All      -2.8278702943613814       0.7544005122586128       -0.24876190269926138       1.1557623537297055        
Check         All|All|All                            All                  All      0.9933110680238968        1.0019316293041314       -0.004982196518381804      0.002585667868800101      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5051.495705872077    All      0.000439170295572686      6.632890220985554e-06    -0.00047735280149193544    -0.0001621937261094774    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4218.364538578556    All      -0.0009017384241692603    0.0001603367845503042    -0.0010999273980783057     0.000296868128724051      
MWEBV         All|All|All                            All                  All      -0.03485814060797976      -2.2125584590844127      0.004051044300904091       -0.7091678584388303       
Redshift      All|All|All                            All                  All      7.5453129385142645        0.5446538813943747       0.14757882387494597        -2.2737592046413755       
