#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                   dmB/dP                   ds/dP                    dc/dP                      
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5051.495705872077    All      3.6504428571901006       0.31208113372649393      0.4889916046096232       -1.0655927927140354        
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4218.364538578556    All      -2.6576898198983585      0.6923292370132117       -0.48572412913081564     1.069535782156563          
Check         All|All|All                            All                  All      0.9927530372917427       1.0044103707397056       0.003267475478807569     0.003942989442527578       
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5051.495705872077    All      7.725282192267888e-05    0.0001455568712254886    0.0032122417541956758    0.0001655964721914063      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4218.364538578556    All      0.0001277973431057289    7.328730083362313e-06    0.0002599142883901206    -2.7641809613329017e-05    
MWEBV         All|All|All                            All                  All      -0.052095909643898874    -2.2063732358400756      0.005042724120940534     -0.7014939651438463        
Redshift      All|All|All                            All                  All      2.560073835150298        0.8418019092857776       -8.451738135660136       -0.9368599512866317        
