#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_2     4237.013264219008     All      -0.5011696168234694        0.513083698393757          1.0329908693416656        0.3764733108524543        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_2    7288.449336067076     All      1.0147275341105315         0.05913369270942326        3.101103728653365         -0.17288033569237693      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_2     5183.5423125611005    All      -0.5414993178631493        1.3004941749539256         3.1649188357877556        0.7412336720912044        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_2    5948.263500057288     All      1.0295456405202947         -0.8580661091539099        -7.189899820924405        -0.9357094544432731       
Check         All|All|All                                All                   All      1.0016042399442078         1.014645456903196          0.10911361285838073       0.0091171928080086        
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_2     4237.013264219008     All      -0.00023555719023024156    -0.00020721032728673248    -0.0023463712922069915    -9.547426843284975e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_2    7288.449336067076     All      -0.0004957647292366638     -0.0001311969583390436     -0.0022556475519698214    1.809252647483865e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_2     5183.5423125611005    All      1.2070464124710979e-05     0.0004491099871520315      0.0027680319694835826     0.0002658827045102838     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_2    5948.263500057288     All      -0.0003353025573293314     0.00012825472840462815     0.0012911314047720323     0.00020861312318818504    
MWEBV         All|All|All                                All                   All      -0.7322219869759201        -3.8324036405605           0.5986300676949108        -0.9831170470066375       
Redshift      All|All|All                                All                   All      7.6464770365592205         0.5689112544049912         -1.9784196236989016       -2.3936838014986903       
