#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_z            7135.082697664714     All      0.106061915310939          0.006285620684387538       0.0858570091330018         -0.02866901771183395       
Zeropoint     AB|SDSS|SDSS_r            4948.838242388172     All      0.6251767828857359         0.3767440247436582         -0.29025625929472443       -0.09387552627539249       
Zeropoint     AB|SDSS|SDSS_g            3787.2765290967827    All      -1.0228511418882966        0.4915117071865538         -0.06795903384171821       0.4902451014457769         
Zeropoint     AB|SDSS|SDSS_i            6001.33133772846      All      1.2886716662962043         0.12417205027883682        0.2727461335716594         -0.3671444285726547        
Check         All|All|All               All                   All      0.9970592226045824         0.9987134028934364         0.00038784956821857897     0.0005561288858957347      
Lambda        AB|SDSS|SDSS_z            7135.082697664714     All      -3.747069371859405e-05     -3.2693804202034964e-06    -3.572618334045453e-05     9.54619745301247e-06       
Lambda        AB|SDSS|SDSS_r            4948.838242388172     All      -9.317383384033787e-05     -3.2001285049284816e-05    -0.0007989423880729346     -1.5727217711706516e-05    
Lambda        AB|SDSS|SDSS_g            3787.2765290967827    All      -0.0014833601434660105     0.0005405146770996916      -0.0017745800868478878     0.0005800512536376357      
Lambda        AB|SDSS|SDSS_i            6001.33133772846      All      -0.00015795106359406616    -3.5229365286070744e-05    -0.00019123697032267197    3.144046689699979e-05      
MWEBV         All|All|All               All                   All      -0.5525185047034054        -3.0367082967790893        0.12975495564139397        -0.803391974968343         
Redshift      All|All|All               All                   All      3.671797459427848          0.07223154870974469        1.5147908363863307         -1.1048988814766045        
