#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_z            7135.082697664714     All      0.0965003471956023         0.006629490430931639      0.09555491216030054       -0.025009717849742506      
Zeropoint     AB|SDSS|SDSS_r            4948.838242388172     All      0.6434706692047767         0.34889278711105476       -0.2737464502460041       -0.10816975432489397       
Zeropoint     AB|SDSS|SDSS_g            3787.2765290967827    All      -1.1297346540625355        0.47600674288350575       -0.4423203113779417       0.5033040763150695         
Zeropoint     AB|SDSS|SDSS_i            6001.33133772846      All      1.3876904396695844         0.16787834990363848       0.6284933298324136        -0.3692861575175587        
Check         All|All|All               All                   All      0.9979268020074278         0.9994073703291306        0.007981480368768334      0.0008384466228743004      
Lambda        AB|SDSS|SDSS_z            7135.082697664714     All      -4.507111557718762e-05     -5.40178394486287e-06     -5.739361867828728e-05    1.0360392792638238e-05     
Lambda        AB|SDSS|SDSS_r            4948.838242388172     All      -9.26661712569705e-07      -1.994541206653338e-05    -0.0004808085542132064    -2.7651310189307156e-05    
Lambda        AB|SDSS|SDSS_g            3787.2765290967827    All      -0.0016343045698032801     0.00046699705591235073    -0.0026325815552755683    0.0005669830464634782      
Lambda        AB|SDSS|SDSS_i            6001.33133772846      All      -0.00029062520903268876    -6.588787431752615e-05    -0.0006510240964288543    4.4152128177332104e-05     
MWEBV         All|All|All               All                   All      -0.5382361548118988        -3.033355381413294        0.19589972757376728       -0.8040003139816904        
Redshift      All|All|All               All                   All      3.884633148729696          0.15060699577773562       1.0690512579523581        -1.1685883161604194        
