#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6188.98830236517     All      1.2490125562989038         -0.1664945734210832       -0.08698950825840994       -0.46495918317634827      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7540.185855845058    All      0.43479158310520793        -0.10242608829837963      0.11489139378785926        -0.16986239428490257      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4342.966175099082    All      -1.1256199213356504        0.7678346652019385        -0.12006255312374939       0.6114026113223567        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5370.920514270486    All      0.4392737700649756         0.49965143867778394       0.09309846894405197        0.023821550116659124      
Check         All|All|All                                All                  All      0.9974579881334373         0.9985654421602597        0.0009378013497518961      0.00040258397776496424    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6188.98830236517     All      -0.00023832943020333567    -7.283947578336526e-06    -0.0004723576114659121     5.417996412187921e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7540.185855845058    All      -0.0001041384073915872     1.5951789608745437e-05    -0.00011232348989678358    3.410484654217371e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4342.966175099082    All      -0.0006364899584491138     0.00031591951919258656    -0.0004956179854880852     0.00028811394580776305    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5370.920514270486    All      5.7486943423525795e-05     7.548570030483813e-05     -0.0008872883004696637     -3.373281442444026e-05    
MWEBV         All|All|All                                All                  All      -0.8757191718343686        -4.04415920753447         0.018344671312688406       -1.0312465197818448       
Redshift      All|All|All                                All                  All      5.9033251896781085         -0.42239205357539333      0.6427854322463531         -2.03180965440904         
