#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6188.98830236517     All      1.2722629474286238        -0.21280045189424612       -0.07075308514439271      -0.4868913915269224       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7540.185855845058    All      0.38308476255770924       -0.1089453985059663        0.15795342646676147       -0.15322167480056326      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4342.966175099082    All      -1.0591871898281506       0.7633318478460716         -0.052070241659052385     0.5913307539305968        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5370.920514270486    All      0.2804436984755544        0.5521850569338405         -0.07720947987488458      0.08506959599851038       
Check         All|All|All                                All                  All      0.8766042186337368        0.9937710543796996         -0.04207938021156821      0.03628728360162148       
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6188.98830236517     All      0.00021831564175157217    -1.4833858183249114e-05    0.00026598907227634014    -6.407459186741456e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7540.185855845058    All      -8.205857948447873e-05    1.1890744960410626e-05     -7.060492423350593e-05    2.7451612320814023e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4342.966175099082    All      -0.0008035353848514555    0.00045284359649076664     -0.0005841182516513606    0.0003831774530508097     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5370.920514270486    All      2.023828598075888e-05     0.0002561382840560236      -0.0006377192361649107    4.8381909681000635e-05    
MWEBV         All|All|All                                All                  All      -0.9007846938769131       -4.050672669221278         0.025579870398662052      -1.0248806296741853       
Redshift      All|All|All                                All                  All      4.61371256903135          -1.939762979763593         -0.032866840279677234     -2.136149285313765        
