#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5419.829514870754    All      0.16725371826464985        0.2599787049334168         0.04715087361046172        0.03230770565257335        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4332.215501889672    All      -0.6398387167403727        0.411143563333205          -0.23008932402469873       0.33207167514077984        
Zeropoint     AB|PS|PS_g                            4840.814289509767    All      -0.4659257191630244        0.6492882268187117         0.2992224282459849         0.37661479434900197        
Zeropoint     AB|PS|PS_r                            6147.505524561342    All      0.5756096093952978         -0.06338484079737583       -0.20972610687894355       -0.21750062763357947       
Zeropoint     AB|CNIa02|SDSS_i                      7410.6561146127      All      0.29637884494388383        -0.08237720084220967       0.012138022521010483       -0.12283164061912544       
Zeropoint     AB|PS|PS_i                            7445.960596710433    All      0.2370465993620917         -0.053963670631684835      0.03593079666596444        -0.09318819245945908       
Zeropoint     AB|CNIa02|SDSS_r                      6111.000429292154    All      0.6134962294589676         -0.06258993478214236       0.0038986664855439335      -0.22004952668814026       
Zeropoint     AB|PS|PS_z                            8557.225590826429    All      0.21462313773266822        -0.056158592686550435      0.06314263025356537        -0.08538475246725741       
Check         All|All|All                           All                  All      0.9986437032541617         1.0019362553453703         0.021667986878888545       0.002039435274793555       
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5419.829514870754    All      1.2431172870710063e-05     2.6027651679829237e-05     -0.00039197884030487697    -1.3063394890113674e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4332.215501889672    All      -0.0003704177768501949     0.00019449121944195233     -0.00033142138251684837    0.00016921963090792803     
Lambda        AB|PS|PS_g                            4840.814289509767    All      -0.0001933769922361914     7.701830214672728e-05      -0.00038623420674139804    7.084078438415216e-05      
Lambda        AB|PS|PS_r                            6147.505524561342    All      -6.363226559670453e-05     -1.9995182501840484e-05    -0.0002858689696917662     1.4570144127335711e-06     
Lambda        AB|CNIa02|SDSS_i                      7410.6561146127      All      -4.799445292164511e-05     -2.2564319852376562e-05    -0.0002980587324749746     -5.017561328926051e-06     
Lambda        AB|PS|PS_i                            7445.960596710433    All      -2.4023489884808175e-05    -6.98153794024682e-06      -9.846201011418222e-05     1.1572171201688566e-06     
Lambda        AB|CNIa02|SDSS_r                      6111.000429292154    All      7.551689049832251e-05      -5.625311062238983e-05     -0.0002745777997161941     -5.5174970580400966e-05    
Lambda        AB|PS|PS_z                            8557.225590826429    All      0.00014422913207039442     -4.119154853290003e-05     4.590786578456989e-05      -5.8348958628927816e-05    
MWEBV         All|All|All                           All                  All      -0.8137772998969277        -4.081960944604202         0.03427758490656685        -1.0630252819462782        
Redshift      All|All|All                           All                  All      5.2760456632411055         0.2048712610554837         3.6681339708870664         -1.4881563674834182        
