#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5419.829514870754    All      0.23535002662118512        0.27356965324436544        0.05964981161029466        0.015111286910029538       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4332.215501889672    All      -0.6904437034020809        0.4450307788319563         -0.216458948932393         0.36020182613364804        
Zeropoint     AB|PS|PS_g                            4840.814289509767    All      -0.39162102931230813       0.5532342956133363         0.2023268237100224         0.31679938103384936        
Zeropoint     AB|PS|PS_r                            6147.505524561342    All      0.5349653601798122         -0.055901441798233975      -0.16670170805135312       -0.19990388794172037       
Zeropoint     AB|CNIa02|SDSS_i                      7410.6561146127      All      0.2720920869839563         -0.06742567926165677       0.045797460274999          -0.10854837595698315       
Zeropoint     AB|PS|PS_i                            7445.960596710433    All      0.19574787350356562        -0.04079218387218475       0.04555574877112766        -0.07501593478635371       
Zeropoint     AB|CNIa02|SDSS_r                      6111.000429292154    All      0.6771274317919781         -0.07020968039679332       -0.02054397797732814       -0.24434906748262716       
Zeropoint     AB|PS|PS_z                            8557.225590826429    All      0.16373419153252702        -0.04060907235192701       0.05021316237714162        -0.06432054092468588       
Check         All|All|All                           All                  All      0.9969522378986352         0.9968966700088622         -0.00016162821748891276    -2.531301484330617e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5419.829514870754    All      1.3272997277217273e-05     7.2653234772862e-06        -0.00043947505262488014    -2.1568650165973828e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4332.215501889672    All      -0.0003599801321743081     0.00017368327437466055     -0.0003913905812992598     0.00015636576446611403     
Lambda        AB|PS|PS_g                            4840.814289509767    All      -0.0001098682380011849     1.809613993848772e-05      -0.0003072668187146148     2.797030090415973e-05      
Lambda        AB|PS|PS_r                            6147.505524561342    All      -7.291247407073836e-05     -1.640598338711417e-05     -0.000227432817696595      8.25674093133247e-06       
Lambda        AB|CNIa02|SDSS_i                      7410.6561146127      All      -3.3989432572074836e-05    -2.7176654952514862e-05    -0.00029193224186970196    -1.080844935393785e-05     
Lambda        AB|PS|PS_i                            7445.960596710433    All      -1.8563089457189386e-05    -5.7598571644842375e-06    -6.441978698032521e-05     1.2956747480132226e-06     
Lambda        AB|CNIa02|SDSS_r                      6111.000429292154    All      -2.6297155052427124e-05    -2.910542693314877e-05     -0.00032616245826775383    -1.5469879043454045e-05    
Lambda        AB|PS|PS_z                            8557.225590826429    All      0.000147222131376858       -3.7950782910029884e-05    5.077732265772995e-05      -5.8050951492761854e-05    
MWEBV         All|All|All                           All                  All      -0.8153590867271054        -4.079882775225041         0.020645251393179603       -1.0624414622335734        
Redshift      All|All|All                           All                  All      5.343715893752054          0.46088711653791137        3.6159659165303206         -1.4291340217099313        
