#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7505.478049096015    All      0.22677446243740285        -0.061745827020587285      -0.08872841319332288       -0.09794009187800501      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5346.197931188629    All      0.1041285182804115         0.16729709716782892        -0.0616829404922663        0.017823457993477832      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V             5327.083572558254    All      0.243235092468071          0.30640899590483883        0.2829563692927499         0.03320486189898195       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4322.975311000405    All      -0.3294172494695267        0.26493867616323996        0.14559001295475332        0.2000982923151687        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6160.500117315452    All      0.413096931375197          -0.08713754481695091       -0.7066618183294272        -0.1944778974929249       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R             6320.113223666619    All      0.7919211736203655         -0.03681611065875501       0.4353575720276243         -0.25051898922193355      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I             7814.74092141314     All      0.25118796240471536        -0.0361159209765205        0.23381904532538395        -0.08315005673343918      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B             4321.925082906903    All      -0.7042494988487769        0.4802275843262649         -0.2391811722264857        0.3751495969316004        
Check         All|All|All                                All                  All      0.9966773922678596         0.9970569500893589         0.0014686553590094464      0.00018917381292626878    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7505.478049096015    All      -5.918029959500602e-05     7.275994700019826e-06      -6.517791708034403e-05     1.8738410311081016e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5346.197931188629    All      -1.5941129290368114e-05    1.1662989988145331e-05     -0.00030188863148029914    -4.480333301070861e-06    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V             5327.083572558254    All      4.589213172432276e-05      6.257417356364416e-05      -7.084979649961374e-05     2.2721888335095493e-06    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4322.975311000405    All      -5.491830686769419e-05     3.291523335754593e-05      -4.4511697403672716e-05    2.662392106870911e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6160.500117315452    All      -8.36929892501779e-05      -1.7106896128320733e-06    -0.000106738416371135      2.194108683859946e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R             6320.113223666619    All      -0.00021703991340187812    6.477884480852788e-06      -0.00014894780779410957    6.616024371822082e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I             7814.74092141314     All      -2.2519702267077856e-05    3.5442831953195455e-06     -2.0544078924563667e-05    7.573109657893219e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B             4321.925082906903    All      -0.00023890138213220362    9.381310332139798e-05      -0.00047530486518933637    8.71653807565676e-05      
MWEBV         All|All|All                                All                  All      -0.8359548661156775        -4.022163931444034         0.048576005844693224       -1.0356853917028122       
Redshift      All|All|All                                All                  All      3.396818357626099          -0.331803995127089         -5.842943300718383         -1.4752786921666472       
