#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7505.478049096015    All      0.21028198835816406        -0.05863411227977622      -0.105111997440277         -0.0922854867385206        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5346.197931188629    All      0.09213714483427793        0.159407804200562         -0.11136258334968896       0.016942666269503803       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V             5327.083572558254    All      0.2573605964002091         0.32304562625284916       0.3119434386190445         0.03531637815747529        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4322.975311000405    All      -0.312178357742939         0.25589085748176643       0.1614340713170015         0.19224289348375723        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6160.500117315452    All      0.4045684963312805         -0.090848050673209        -0.787217685432684         -0.19650337782044536       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R             6320.113223666619    All      0.7673242021558062         -0.03013943025518273      0.4215850970999191         -0.24094673423723129       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I             7814.74092141314     All      0.2200033019170296         -0.028662364527587414     0.2254731196002835         -0.07093675865126325       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B             4321.925082906903    All      -0.6491948498047007        0.4684328107734004        -0.12155111439059452       0.3586238299369999         
Check         All|All|All                                All                  All      0.9903025224491276         0.9984931409728226        -0.004807653976995896      0.002453410400275746       
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7505.478049096015    All      -6.348000012388172e-05     7.285117333736851e-06     -7.213073442372687e-05     1.9831663466308792e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5346.197931188629    All      -1.7801139034004105e-06    6.733810104676999e-06     -0.0003073557761060337     -1.0942611504380853e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V             5327.083572558254    All      -1.4531279571889917e-05    8.370421040700555e-05     -9.862241436989439e-05     2.7597465540788255e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4322.975311000405    All      -4.0695790098738424e-05    2.9964289592040838e-05    -2.818997565756405e-05     2.1758323461137782e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6160.500117315452    All      -9.38946825751472e-05      -2.414312154853482e-06    -0.00014682568724941583    2.3246010184730864e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R             6320.113223666619    All      -0.00021947910355059872    2.333089113557905e-06     -0.00016276013303102242    6.498829134817804e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I             7814.74092141314     All      -1.6336784408800627e-05    2.433551948197023e-06     -1.0873734267450603e-05    5.628871258096717e-06      
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B             4321.925082906903    All      -0.00021037083916694774    9.189929626316084e-05     -0.000424511140438301      7.95153450130493e-05       
MWEBV         All|All|All                                All                  All      -0.8325939144139114        -4.021335405382054        0.05867766590926249        -1.0360594953545843        
Redshift      All|All|All                                All                  All      3.212264830155363          -0.40747211942750994      -6.8887300247548025        -1.4864797924997657        
