#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_z            6737.495258186409     All      0.17715248679007214       0.034783940104254896       0.5888587112815258        -0.020096059687377266     
Zeropoint     AB|SDSS|SDSS_g            3576.2385297344617    All      -1.2348134437131337       0.23599630069934818        -1.946762140975422        0.39221606876184006       
Zeropoint     AB|SDSS|SDSS_r            4673.07466562859      All      1.2507781281838057        0.5881818438174591         3.1352317283603215        -0.07591841615015721      
Zeropoint     AB|SDSS|SDSS_i            5666.919802342988     All      0.805625712264454         0.14004942209098203        -1.763449725209254        -0.2954947565234983       
Check         All|All|All               All                   All      0.9987428835251985        0.9990115067120442         0.01387857345717114       0.0007068364008072647     
Lambda        AB|SDSS|SDSS_z            6737.495258186409     All      -8.777289326267375e-05    -1.643952522233384e-05     -0.0002449663269110228    1.2303902688446185e-05    
Lambda        AB|SDSS|SDSS_g            3576.2385297344617    All      -0.0013559011541771195    0.00036960327051835574     -0.0012621082039111482    0.0005057314660454879     
Lambda        AB|SDSS|SDSS_r            4673.07466562859      All      -0.0005356264447105386    -0.00019161868992544827    -0.002600306307327506     -3.98508446865736e-06     
Lambda        AB|SDSS|SDSS_i            5666.919802342988     All      -7.808893831140297e-05    -8.226511524511476e-06     0.0008318279971820209     5.987715387649133e-05     
MWEBV         All|All|All               All                   All      -0.6843895003350151       -2.782756626118399         -0.2618656754220128       -0.6951930694841041       
Redshift      All|All|All               All                   All      6.725589682795037         0.44294266531377247        -1.2854324343931633       -2.1038277723104652       
