#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|MEGACAMPSF|r           4636.996152527874    All      -0.32434945313382246       0.6507069688758804         0.4864746444476977        0.3393170841364943        
Zeropoint     AB|MEGACAMPSF|g           3634.169145619456    All      -0.7779751285364471        0.25727161427777645        -0.3279647412034058       0.3225783626284551        
Zeropoint     AB|MEGACAMPSF|i           5669.850338163493    All      2.088980668884855          0.09354070489546729        -0.16139033567610878      -0.6571825537384413       
Check         All|All|All               All                  All      0.9866560872145852         1.0015192880491242         -0.0028804324318168484    0.004712893026508125      
Lambda        AB|MEGACAMPSF|r           4636.996152527874    All      -0.00030950632854353025    -0.00018243815049097904    -0.0021066995190228434    -5.262203780246851e-05    
Lambda        AB|MEGACAMPSF|g           3634.169145619456    All      -0.0013965364163743069     0.0004198029356821131      -0.0008956970605675762    0.0005516706367292059     
Lambda        AB|MEGACAMPSF|i           5669.850338163493    All      -0.0004826399202305275     -7.63484618743558e-06      -0.0008931043534689929    0.00011486963440320518    
MWEBV         All|All|All               All                  All      -0.46463076223541133       -2.731021613212725         -0.024394262781376266     -0.7393266661167306       
Redshift      All|All|All               All                  All      5.448257565142383          0.915815458263225          9.785333843646429         -1.0396910000975885       
