#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5330.600201245947     All      0.23188388265648627        0.18885407619020356       -0.09110468783810041       -0.018081807394170184     
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i              7457.535581163144     All      0.2099603870248531         -0.04533773328443402      0.12979701518440231        -0.0773667521918645       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-3009      5290.354888028259     All      0.059004025492588          0.019512929926790434      -0.04208403586815296       -0.014741566280043817     
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u              3525.0291099489295    All      -0.16865793025252246       0.06657710873767542       0.004165248304169399       0.07680966710354042       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-3014      5269.802905041339     All      0.3102745905870095         0.1347896490695888        0.5634694472684351         -0.03201616522529156      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844      5269.186898034129     All      0.028201537364621845       0.06307898905264508       -0.7220694900120483        -0.020861911545155504     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6142.526630665963     All      0.5125970727790481         -0.0246270729615361       0.028856380480574883       -0.1737038506888422       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g              4712.004848190964     All      -0.2920122776240055        0.30402680841330465       0.18982857417593102        0.2026207168401996        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7483.580539649614     All      0.18700422036050984        -0.04068393554756966      0.11220550057849227        -0.06915830694750034      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4310.362870848029     All      -0.31793230541369466       0.2179194996758227        -0.06844748130397453       0.17149006519572407       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r              6099.46962466779      All      0.6184663707035293         -0.08783888989380984      -0.012328554368659596      -0.23061702688789756      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B              4313.417776927455     All      -0.38393845330090226       0.20045537835731153       -0.09152323984568908       0.18627203511379622       
Check         All|All|All                                All                   All      0.994851120377521          0.9967268077359925        0.0007646767553799866      0.000645097092494662      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5330.600201245947     All      4.2177655622542794e-05     9.183996108676571e-06     -0.00026100373227836576    -2.239451818762291e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_i              7457.535581163144     All      -4.433299526844185e-05     1.02453699645195e-05      -0.00015641953582884156    1.0797683656159626e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-3009      5290.354888028259     All      4.320673197647327e-05      1.3823163182562135e-05    -3.295590890105606e-05     -1.10418659001159e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_u              3525.0291099489295    All      -0.00035409944865080317    0.00013765217886909875    -1.112419827507518e-05     0.0001596832613538165     
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-3014      5269.802905041339     All      9.764799754465544e-05      3.4687254613120946e-05    0.00017990309464771702     -1.2480136470618e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844      5269.186898034129     All      4.039951815265554e-05      7.706236362831764e-05     -0.0009040920836072653     -2.840318240343103e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6142.526630665963     All      -0.00012985307260720826    2.975058791209439e-06     -0.00018652818730584302    3.494259600570593e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_g              4712.004848190964     All      -0.00017410098471918955    -1.238766678247528e-05    -0.0007503199453916464     1.9192014794155926e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7483.580539649614     All      -5.594413281223929e-05     1.0736820199026354e-05    -8.482916035790913e-05     1.793464431343065e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4310.362870848029     All      -0.00013225023795325973    4.496079629101348e-05     -8.947262276026179e-05     5.373071170231835e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_r              6099.46962466779      All      -0.00013256013681810957    1.0911078476951858e-05    -0.0005997551567729359     1.996897681341016e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_B              4313.417776927455     All      -0.00027548498077434894    9.784252291567325e-05     -0.00040461923244481095    0.00010354875206680231    
MWEBV         All|All|All                                All                   All      -0.9651188366111674        -3.96832669004592         0.03171776075121948        -0.9768281824794254       
Redshift      All|All|All                                All                   All      7.22687433813252           -1.05348189158736         11.219997082690366         -2.196487501430391        
