#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5330.600201245947     All      0.1842659143187494         0.18992406608431267        -0.016016845148258962      0.0011282879414500901      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i              7457.535581163144     All      0.2075431986799044         -0.05086034362715708       0.1442043811038407         -0.07773535573154244       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-3009      5290.354888028259     All      0.022042365524175312       -0.008130622349966643      -0.03751307097674683       -0.011502370878813117      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u              3525.0291099489295    All      -0.190881965736217         0.06152685480280695        -0.0021279171538046704     0.08212289768369796        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-3014      5269.802905041339     All      0.36301141405283754        0.17500865370232432        0.5384458727575869         -0.037210317844535434      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844      5269.186898034129     All      -0.03956564421160738       0.018988222046667502       -0.935547867318065         -0.02267628389716614       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6142.526630665963     All      0.45686598473227535        0.005983476916027186       0.05215338772892597        -0.14453990022716134       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g              4712.004848190964     All      -0.3113762535947387        0.34962297184151225        0.22477360178794203        0.2253398074531593         
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7483.580539649614     All      0.16388643382012993        -0.036832980563517026      0.10354350372783205        -0.06076024572408273       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4310.362870848029     All      -0.2397008737077071        0.23391256278744166        0.01694828836116269        0.15502780195460197        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r              6099.46962466779      All      0.7771787267516731         -0.16413610942724866       0.15391294657983723        -0.2997487825724704        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B              4313.417776927455     All      -0.41439536353487927       0.2217755392278864         -0.1362637467071659        0.20114096725207947        
Check         All|All|All                                All                   All      0.9788739370945956         0.9967822914410895         0.1065125347430862         0.010586505409217184       
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5330.600201245947     All      0.00013272412123361698     3.952808024376426e-05      -0.0001928579518765999     -3.896338123679053e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_i              7457.535581163144     All      -9.545635763911598e-06     -1.1469288978914853e-06    -2.8045450201906418e-05    1.4841955010941149e-06     
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-3009      5290.354888028259     All      3.7436341852178535e-05     -1.072161491712572e-05     -3.906653916532653e-05     -1.7429991086304234e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_u              3525.0291099489295    All      -0.0004499611659731491     0.00014445242353019322     3.626148768570038e-05      0.00019523824537989685     
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-3014      5269.802905041339     All      0.0001343624142684691      8.482024508697623e-05      0.0002514415467296255      -4.916832990076275e-06     
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844      5269.186898034129     All      -5.577586575583139e-05     1.438924651225058e-05      -0.001277794513454615      -3.416701500820858e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6142.526630665963     All      3.604900137053866e-05      -1.80412779169377e-05      3.771217771357828e-05      -1.5936062195673007e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_g              4712.004848190964     All      -0.00017578053653188782    7.687712963587634e-05      -0.0002983298539768944     6.89858228576318e-05       
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7483.580539649614     All      -3.739074635361378e-05     6.2360562706104646e-06     -2.8364426380695435e-05    1.2944910817612042e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4310.362870848029     All      -0.0001416520837649883     0.0001003925446104253      -4.530070089915364e-05     7.682033627108455e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_r              6099.46962466779      All      3.9627877948863374e-05     6.139517502208345e-06      -6.605951276651294e-05     -1.3856193386210848e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_B              4313.417776927455     All      -0.0003749772007159299     0.0001255718392737069      -0.0004572489391103272     0.00014264036981482802     
MWEBV         All|All|All                                All                   All      -0.965871718114288         -3.9808469687367065        0.043816079275216246       -0.9801213184891577        
Redshift      All|All|All                                All                   All      6.203759899392573          -1.9254498361055639        8.422773082491286          -2.272081375634147         
