#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_B    4277.40682832307     All      -0.5226692537454946        0.3237547588102352        -0.10952664198961279       0.2708204764179651        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_V    5324.854611867128    All      0.3352230135348649         0.245655577826831         -0.07269228705682072       -0.03241898339896362      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_B    4402.862125878895    All      -0.6467890438238684        0.4551205313456208        -0.013457464312528993      0.3583276555565709        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_I    7799.148558060114    All      0.24338806513395533        -0.043599895824542045     0.10475972529570879        -0.0888064751117216       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_R    6292.280613231229    All      0.4980305268518034         -0.0617017386409735       -0.043043844914471725      -0.1842440626208663       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_I    8130.779675803549    All      0.1301018828643694         -0.030054847943095098     0.003831471964473459       -0.05199733522746959      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_V    5279.649971780211    All      0.2221025087422591         0.18123825484792633       0.0853222699306278         -0.009503290851412627     
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_R    6294.596875572544    All      0.7376084791330664         -0.07367154697011102      0.044950786274594035       -0.26225464768194073      
Check         All|All|All                       All                  All      0.9969961786909555         0.9967410934518917        0.00014401519196985402     -7.66629178384215e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_N2_B    4277.40682832307     All      -0.00027171291675260966    8.328731829361297e-05     -0.0006411167520661018     8.702515961340935e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_V    5324.854611867128    All      7.520705457878528e-05      2.5972337022317184e-05    -0.00036938238074403723    -3.252120642293199e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_B    4402.862125878895    All      -0.0002066812960361073     2.885867626200793e-05     -0.0007514789534027443     4.318806374004537e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_I    7799.148558060114    All      -1.2238191826372228e-05    2.9685526029243913e-06    1.3240875463924176e-05     5.544216406467177e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_N2_R    6292.280613231229    All      -0.00013978248184862217    7.951261351626017e-06     -0.00010920588522074043    4.324838336319439e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_N2_I    8130.779675803549    All      -1.1662679431876918e-05    1.3146340253732238e-06    -1.5168135650895687e-05    3.550253704585483e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_N2_V    5279.649971780211    All      2.4693299527533e-05        1.9481925706943092e-05    -0.0005611250183828061     -2.67379483189037e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_R    6294.596875572544    All      -0.00020210376116001251    1.3451622523486557e-05    -0.00015154328736733264    6.345079912513828e-05     
MWEBV         All|All|All                       All                  All      -0.8450990228342872        -4.0526423348456575       0.03230149145358082        -1.0433609145544722       
Redshift      All|All|All                       All                  All      3.6743783337107465         0.028386057011164922      0.35948693990886305        -1.1715773830397613       
