#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_B    4277.40682832307     All      -0.4942286256543866        0.32229228694617973       -0.005658579069633962      0.2657152075791617         
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_V    5324.854611867128    All      0.3354496401517729         0.24200928230175833       -0.14091327024073896       -0.036724910707816236      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_B    4402.862125878895    All      -0.6317936587652568        0.4581688653898297        0.05397436532327271        0.35744528084833066        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_I    7799.148558060114    All      0.23410634125028823        -0.0397700313355287       0.12270448878596296        -0.08373480704304236       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_R    6292.280613231229    All      0.5014035280119892         -0.06361784782962232      -0.08507316603398873       -0.18784247543591792       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_I    8130.779675803549    All      0.1226947612118269         -0.0286447076935481       -0.0021272269311700676     -0.04939117231105711       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_V    5279.649971780211    All      0.21822715158502332        0.17460168222740435       0.031133116558546003       -0.012820922602312101      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_R    6294.596875572544    All      0.7147438632395833         -0.06911453709328441      0.03191902408522518        -0.25390406971765206       
Check         All|All|All                       All                  All      1.0006030010308402         0.9959249929131886        0.005958752477475127       -0.0012578693903054217     
Lambda        Linear_AB11_off|LOSS|LOSS_N2_B    4277.40682832307     All      -0.00022415912403436913    6.770106629784034e-05     -0.0005389105103971476     7.101936495368086e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K4_V    5324.854611867128    All      4.263045906742209e-05      2.8009252128297907e-05    -0.00036690128929195567    -2.1135727547922515e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_B    4402.862125878895    All      -0.00016453548642909177    1.7917217900827388e-05    -0.0006523765021434368     3.031828128217209e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K4_I    7799.148558060114    All      -5.584953892337522e-06     2.6803512251472717e-06    2.9071706108021154e-05     3.989618519310649e-06      
Lambda        Linear_AB11_off|LOSS|LOSS_N2_R    6292.280613231229    All      -0.00016129536021143462    6.428541469961938e-06     -0.00015151669040976517    4.787169872809731e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_N2_I    8130.779675803549    All      -1.0123247934017688e-05    1.2478542657890334e-06    -1.246636088153704e-05     3.1476256544091684e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_N2_V    5279.649971780211    All      -7.198302051930269e-06     1.7220834022156263e-05    -0.0006547721130337347     -2.1265356160109164e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_R    6294.596875572544    All      -0.00022414686620039284    8.181857130576664e-06     -0.0002057119829282398     6.649712757973963e-05      
MWEBV         All|All|All                       All                  All      -0.8491829856800068        -4.050875545255117        0.03511163771983128        -1.0413297280806169        
Redshift      All|All|All                       All                  All      3.6413727001951375         0.12678712351466004       -0.970711040713057         -1.1881345241883279        
