#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_g            3742.509667050721     All      -1.012139690741942         0.47325967508005107        0.08287324419009458        0.48754169390098895       
Zeropoint     AB|SDSS|SDSS_i            5930.393615060274     All      1.2589298932251094         0.16989069542603374        0.40862571841014417        -0.33650080598595633      
Zeropoint     AB|SDSS|SDSS_z            7050.7436586852255    All      0.12934589310776337        0.014813252871093141       0.16983791312145075        -0.029727962911736638     
Zeropoint     AB|SDSS|SDSS_r            4890.341336449777     All      0.6217458779087388         0.3409717545469704         -0.6560305326146092        -0.12073299880455043      
Check         All|All|All               All                   All      0.9978819734996696         0.9989353779241483         0.005306343107080336       0.0005799261987455423     
Lambda        AB|SDSS|SDSS_g            3742.509667050721     All      -0.0014751962177829568     0.0005390279642838142      -0.0016179809519623637     0.0005838960233380871     
Lambda        AB|SDSS|SDSS_i            5930.393615060274     All      -0.00016580875745535957    -2.9256763271734732e-05    -4.4489599861063315e-05    4.249411042431895e-05     
Lambda        AB|SDSS|SDSS_z            7050.7436586852255    All      -4.803109117984017e-05     -5.983662805113433e-06     -5.9424318754174516e-05    1.1044396320978771e-05    
Lambda        AB|SDSS|SDSS_r            4890.341336449777     All      -0.00018025124411176052    -5.291471799445148e-05     -0.0009501515152043031     -9.232024318177515e-07    
MWEBV         All|All|All               All                   All      -0.5598281404925807        -2.975817581726936         0.15596101522147718        -0.7800074208954441       
Redshift      All|All|All               All                   All      3.7124093047402678         -0.24815211480806454       1.7972471884486017         -1.2098822653846495       
