#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_i            5724.03080244266      All      1.330818912390676          0.2442207785030348         0.2934398936050131         -0.3408458854930796        
Zeropoint     AB|SDSS|SDSS_z            6805.3954766089       All      0.05291236892830037        0.009187564509893775       0.057531310923752965       -0.011675249127639231      
Zeropoint     AB|SDSS|SDSS_r            4720.1697326143885    All      0.6553249423541962         0.37255963903266576        -0.4423446424843325        -0.11184577177260069       
Zeropoint     AB|SDSS|SDSS_g            3612.279724272573     All      -1.0405511689462126        0.37320231085828937        0.1018888738077317         0.4650528519596617         
Check         All|All|All               All                   All      0.99850505472696           0.9991702929038837         0.0105154358521653         0.000685945566342161       
Lambda        AB|SDSS|SDSS_i            5724.03080244266      All      -0.0004268998492854661     -4.9476668989380926e-05    0.00028250373061532136     0.00013554599068090693     
Lambda        AB|SDSS|SDSS_z            6805.3954766089       All      -0.00010541384966799655    -2.610571258088204e-05     -0.00020932118997020702    1.6492226078565523e-05     
Lambda        AB|SDSS|SDSS_r            4720.1697326143885    All      -0.00015021705720929165    -9.603073298799184e-05     -0.0007353704543916344     -1.5165937469170722e-05    
Lambda        AB|SDSS|SDSS_g            3612.279724272573     All      -0.0021237514550229673     0.0003294999127488685      -0.0030762426436402486     0.0006618260995417335      
MWEBV         All|All|All               All                   All      -0.548908826122001         -2.801431121186937         0.27688786140256383        -0.7213643837305488        
Redshift      All|All|All               All                   All      7.494267333668737          0.1518675624883059         -1.4881955719822648        -2.458072496593486         
