#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                   ds/dP                     dc/dP                     
Zeropoint     AB|MEGACAMPSF|i           3940.7199676393825    All      0.7649911505035921        0.728837975357699        -0.7648739225663281       -0.04590908877442346      
Zeropoint     AB|MEGACAMPSF|r           3222.632282619865     All      -1.0247940714168031       -0.0862059408555993      0.11112670849781625       0.31068810736983865       
Zeropoint     AB|MEGACAMPSF|z           4539.4288368424795    All      1.2677224813348489        0.3563479874427955       0.6485826260240579        -0.2679213922236995       
Check         All|All|All               All                   All      1.0079195604216378        0.9989800219448952       -0.005164588044453966     -0.0031423736282842896    
Lambda        AB|MEGACAMPSF|i           3940.7199676393825    All      7.032882795241906e-06     0.0004828500084059906    -0.0024082386267891007    4.752066245623513e-05     
Lambda        AB|MEGACAMPSF|r           3222.632282619865     All      -0.0026637864037590804    -0.000169965168496274    0.0004499290637356448     0.0008323978882718533     
Lambda        AB|MEGACAMPSF|z           4539.4288368424795    All      0.0003665659127552197     7.868619676783922e-05    -0.0001295476767413578    -9.95530122804386e-05     
MWEBV         All|All|All               All                   All      -0.508978265900015        -1.6181139232260833      0.0457007608684612        -0.35924255800882376      
Redshift      All|All|All               All                   All      6.5880298638533565        0.9793623277072783       2.90392598771001          -1.697338656622087        
