#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B    4350.922656614918    All      -0.6888167724826912        0.594069637401784         0.4177228082213778         0.4365193598080795         
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_R    6305.24693659385     All      0.5078022777374831         -0.06600449708997758      0.0775181857001597         -0.18344846364382372       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_I    8142.954034865471    All      0.14447798356317682        -0.02498526252097122      0.10758593016500105        -0.05039868848584459       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_B    4376.619435656502    All      -0.3632276370824263        0.17525072642428086       -0.4622397242701017        0.15477248250218345        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R    6362.517463798197    All      0.7912775794628788         -0.09979573763381211      -0.08858436451364525       -0.29420500815474276       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I    7867.173233757921    All      0.2564116563806559         -0.06447112607652628      0.05046307107282183        -0.10227014388280312       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_V    5329.731407616575    All      0.06272961187272302        0.07406549104533866       -0.3983999079344579        -0.014086289320653126      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V    5362.825168162248    All      0.2864270912386079         0.4085523765620991        0.29495755648133537        0.0529428242871121         
Check         All|All|All                       All                  All      0.9970817906904078         0.9966816081122154        -0.0009764450775090472     -0.00017392689049224724    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B    4350.922656614918    All      -0.00022211866858916801    0.00011146383769037769    -0.00014050874004105558    0.0001023885370989971      
Lambda        Linear_AB11_off|LOSS|LOSS_N1_R    6305.24693659385     All      -3.553274372492267e-05     4.0686128133189495e-06    -1.0627643988425591e-05    1.242520173023691e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_N1_I    8142.954034865471    All      -2.5073216162679027e-07    7.296048314382333e-08     2.8015500641517264e-08     1.0668754669658028e-07     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_B    4376.619435656502    All      -0.0003518528264707521     0.00017003062267447573    -0.0004510885763603176     0.00014986459745402748     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R    6362.517463798197    All      -0.0002275484491770786     -3.33748554320337e-05     -0.0004883204930456861     4.14572267745231e-05       
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I    7867.173233757921    All      9.735141372725759e-06      1.3923431309510875e-05    0.0001334747373391546      7.32062832320824e-06       
Lambda        Linear_AB11_off|LOSS|LOSS_N1_V    5329.731407616575    All      5.667222128928585e-05      6.04133090110919e-05      -0.0003423444463596342     -1.4058664960737408e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V    5362.825168162248    All      3.881995026572361e-05      -1.665091439805234e-05    -0.0008689866526949574     -5.6847568756672686e-05    
MWEBV         All|All|All                       All                  All      -0.8316804775098943        -4.066896407071852        0.0392683344829457         -1.0520638982859265        
Redshift      All|All|All                       All                  All      3.995226282714211          -0.6618736223220623       -0.8421338955364033        -1.554551221082984         
