#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B    4350.922656614918    All      -0.7078297551227962        0.7096610898483569        0.5516312990689443         0.48634017359726334        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_R    6305.24693659385     All      0.1014716276601499         -0.017581687338896757     -0.032509989030837794      -0.040230352930381574      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_I    8142.954034865471    All      0.09463318491602127        -0.020437412350648998     0.04893784021764436        -0.035298408194414654      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_B    4376.619435656502    All      -0.17871142881733668       0.01484259882000849       -0.7316743712583396        0.030395647809430826       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R    6362.517463798197    All      1.1077567922401954         -0.07522077406143524      0.18468013345172007        -0.37709328599959124       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I    7867.173233757921    All      0.41217908770501377        -0.0910357751185753       0.1568557575057472         -0.1569138840538442        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_V    5329.731407616575    All      -0.02219121780795054       0.005601184609016485      -0.432115041481973         -0.010230409858652534      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V    5362.825168162248    All      0.2043318013145925         0.4431240194519237        0.07645829720721586        0.08119446412205855        
Check         All|All|All                       All                  All      1.0116400920878896         0.9689532438597492        -0.1777360743198786        -0.021836055508131502      
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B    4350.922656614918    All      -0.0003901024233092663     0.0003254374657349305     -7.343577955363524e-05     0.0002297977808616771      
Lambda        Linear_AB11_off|LOSS|LOSS_N1_R    6305.24693659385     All      0.00011560301765779151     -2.254781077787501e-05    7.785013193551653e-05      -4.152617601319243e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_I    8142.954034865471    All      -3.895113865520816e-06     -3.975985028831703e-06    -3.149823839888387e-05     -1.4319641120384293e-06    
Lambda        Linear_AB11_off|LOSS|LOSS_N1_B    4376.619435656502    All      -0.00019624390688213224    1.294560676427059e-05     -0.0007974389873258707     3.255386722565425e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R    6362.517463798197    All      -8.58401233305028e-05      7.135366727708084e-06     -6.731554014275808e-05     2.7281192527248547e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I    7867.173233757921    All      -2.4801993207392454e-05    1.0375123501019471e-05    2.1169022251421117e-05     1.2403020441972841e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_V    5329.731407616575    All      3.69634659146271e-06       1.4476672998942997e-05    -0.0007122362850718109     -2.827232724669636e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V    5362.825168162248    All      1.668935106336928e-05      0.00020595685651686932    -0.00017152536546808134    5.3996263968851114e-05     
MWEBV         All|All|All                       All                  All      -0.7809924319907471        -4.082735389357239        0.028887534712929153       -1.0741971873325151        
Redshift      All|All|All                       All                  All      3.514335763128358          -1.2474326454002593       3.4863899582357583         -1.3954830567590615        
