#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_R             6252.198974896889     All      0.3519405047476811         -0.027069895859010984      -0.03766782575169664       -0.12513709861064318       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B              4319.260388346867     All      -0.3174839030391278        0.1938662055095186         -0.11844472037051447       0.16127790939996287        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i              7467.636963593626     All      0.15540113267013933        -0.023824172934272525      0.037810304826760815       -0.05669227812480314       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r              6107.731479355752     All      0.46657314518317566        -0.03489017746511891       -0.05205411909137902       -0.16566603809896208       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844      5276.32411801457      All      0.20059052597774307        0.1276158059545729         0.0028024341979877325      -0.02364520734138302       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_B             4373.206197978884     All      -0.2062269065465434        0.15781796272928972        0.038275416687970125       0.12028944669774756        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7493.717200501927     All      0.14222574712444616        -0.01930862503138897       0.05578856561433425        -0.05012747187839458       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4316.201344335513     All      -0.1950498146314111        0.13883257659728088        0.01793098011755754        0.10955665651622065        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_I             7746.616595735008     All      0.10505393182904986        -0.018322376986734668      0.012041727379128798       -0.03965035575402081       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6150.846806937398     All      0.36700817273373987        -0.015253646413349031      0.06312682436102987        -0.12169819029629572       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5337.820606784848     All      0.1653322462853817         0.08529368641800872        0.02856297145118581        -0.024796557908325904      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u              3529.8038330100053    All      -0.14465373856912628       0.06507075145121277        -0.02266902851786943       0.0673025515027332         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g              4718.387353841502     All      -0.25165731292719357       0.266271675147145          -0.038232678699193626      0.1670003619193971         
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_V             5288.988509333642     All      0.1560986501203335         0.1005492394829055         0.013099474703887493       -0.017509701173614136      
Check         All|All|All                                All                   All      0.9951523809582883         0.996649008600059          0.0003703269091892662      0.0005040268496187862      
Lambda        Linear_AB11_off|LOSS|LOSS_K4_R             6252.198974896889     All      -8.806117195252285e-05     -1.3351518262629447e-06    -8.65058293827973e-05      2.438916009798589e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_B              4319.260388346867     All      -0.00019203839673243584    6.671186020266377e-05      -0.00031087286638313235    7.041064307511742e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_i              7467.636963593626     All      -3.2272834630867876e-05    -5.2837122816417646e-06    -9.859539239041172e-05     4.3913855347686335e-06     
Lambda        Linear_AB11_off|SWOPE|SWOPE_r              6107.731479355752     All      -8.151826468315236e-05     -2.2487208362139862e-05    -0.0003217579853331192     4.869776003379534e-06      
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844      5276.32411801457      All      4.999496701180258e-05      8.543275234467005e-06      -0.00044724697083913363    -3.346075790954296e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_B             4373.206197978884     All      -7.582132632590733e-05     3.431903490741527e-05      -9.568886235014702e-05     3.1606184720310244e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7493.717200501927     All      -4.095645659751917e-05     3.04529624035434e-06       -4.074345470074473e-05     1.251462525859006e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4316.201344335513     All      -8.234903732980332e-05     3.8596639052133654e-05     -8.727300693880865e-05     3.55013923229056e-05       
Lambda        Linear_AB11_off|LOSS|LOSS_K4_I             7746.616595735008     All      -1.7257979201610642e-05    4.144882564694485e-06      8.495501123641843e-06      7.3507314072456225e-06     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6150.846806937398     All      -7.346558840511412e-05     -4.209985911166687e-07     -6.3484275428351e-05       2.096001435840826e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5337.820606784848     All      4.041080908025799e-05      9.177150502968326e-06      -0.00014472052159676384    -1.6632042357018344e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_u              3529.8038330100053    All      -0.00024196644679366644    8.060737575449678e-05      -0.00010528590880687296    0.0001003744798181178      
Lambda        Linear_AB11_off|SWOPE|SWOPE_g              4718.387353841502     All      -7.988817254261075e-05     -3.359092136805545e-05     -0.0004914114270352792     -6.848897175660571e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_V             5288.988509333642     All      4.335079846197274e-05      1.4251643450719804e-05     -0.0002053420205299251     -1.8642023395391753e-05    
MWEBV         All|All|All                                All                   All      -0.9436552429776794        -3.9729604368518245        0.003282876902313909       -0.9865978631070124        
Redshift      All|All|All                                All                   All      5.55947442370674           0.3903561965727498         5.094046797788217          -1.4564279530413695        
