#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R    6392.947123065648    All      1.1701103676325846         -0.13039433388177812      0.10746876599976307       -0.41882132917667597       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B    4371.731573005819    All      -1.1607266446475206        0.7956599708125012        -0.2675407993861345       0.6253203667570428         
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V    5388.473654552518    All      0.5922437679883169         0.4109375692598949        0.010159430280864967      -0.05860402500975359       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I    7904.799126694701    All      0.3969734906590374         -0.07679766733343918      0.16014794850813807       -0.14717618535728394       
Check         All|All|All                       All                  All      0.9986009816324182         0.9994055388571788        0.010235345402631602      0.0007188272133293316      
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R    6392.947123065648    All      -0.00035282830245862826    -3.465594162036675e-05    -0.0007476234881468788    7.027620291926355e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B    4371.731573005819    All      -0.00043349852274607835    0.0001711475345041084     -0.0006944590068245075    0.00016596259717108444     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V    5388.473654552518    All      3.247194064255474e-05      3.194461240577699e-05     -0.001062666434779093     -4.7593690489092345e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I    7904.799126694701    All      4.003046773546457e-05      1.3001607042309328e-05    0.00020046283091590424    1.4154630043115345e-07     
MWEBV         All|All|All                       All                  All      -0.8612862066275566        -4.082418680420741        0.02241660043174054       -1.0482284689035948        
Redshift      All|All|All                       All                  All      3.009347507906014          -0.24188570433034684      -3.225537265929246        -1.2029745334425628        
