#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R    6392.947123065648    All      1.2002870564122086         -0.14755519280056362       0.010537494791535795      -0.43856632326590617      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B    4371.731573005819    All      -1.117379729906471         0.8037631961709479         -0.10044267735385519      0.6212971593745735        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V    5388.473654552518    All      0.5369918769917865         0.42432824927725044        0.00771922376425458       -0.036353776566395164     
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I    7904.799126694701    All      0.3787191141827714         -0.0824301618257195        0.08321373840751461       -0.14649804359826105      
Check         All|All|All                       All                  All      0.9986183176802956         0.9981060908219153         0.0010277796094497887     -0.0001209840559888431    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R    6392.947123065648    All      -0.00030963368201125587    -1.8066305805562425e-05    -0.0005164737278673369    7.192523631526654e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B    4371.731573005819    All      -0.0004597799572780346     0.00020183150627859183     -0.0006321159773850853    0.00018730018718399665    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V    5388.473654552518    All      9.511750580133536e-05      1.363823194499189e-05      -0.0008429614068847184    -6.415797609105861e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I    7904.799126694701    All      2.335054322425833e-05      8.15635401674943e-06       0.00011841156637080205    3.34917063612698e-07      
MWEBV         All|All|All                       All                  All      -0.85227309773878          -4.086837087825312         0.013065150624022503      -1.053020867899362        
Redshift      All|All|All                       All                  All      3.262117757021013          -0.18973381387974442       -2.5729586957955175       -1.2392009486074083       
