#Date  :
#Mag  :
#Magerr  :
#end  :
@INSTRUMENT  LOSS
@BAND  LOSS_K3_B
@MAGSYS  Linear_AB11_off
53151.45  14.654  0.01
53152.47  14.531  0.01
53154.46  14.335  0.01
53155.46  14.254  0.01
53157.42  14.185  0.019
53158.43  14.16  0.027
53159.42  14.155  0.029
53164.46  14.274  0.01
53166.47  14.329  0.01
53169.46  14.481  0.01
53173.48  14.797  0.023
53175.44  14.98  0.018
53177.45  15.2  0.01
53179.45  15.43  0.017
53182.41  15.711  0.011
53197.38  16.82  0.022
53200.33  16.901  0.039
53203.35  17.006  0.047
53206.32  17.047  0.031
53212.27  17.244  0.052
53215.27  17.253  0.063
53220.31  17.325  0.059
53223.32  17.313  0.035
53226.24  17.38  0.035
53229.27  17.378  0.028
53232.25  17.435  0.032
53235.24  17.469  0.039
53238.2  17.554  0.097
53241.28  17.645  0.052
53248.24  17.681  0.069
53252.19  17.698  0.039
