#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    6432.509451267751    All      2.967653785680036          -1.1218873618295433       0.265104254609862         -1.3202677083478922       
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    5371.610972915758    All      -1.9707438069218965        2.1266882866221692        -0.26287383841107415      1.3229375823067586        
Check         All|All|All                            All                  All      0.99690997875814           1.004800924792626         0.0022304161987878324     0.00266987395886642       
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    6432.509451267751    All      -0.001254423764846686      0.0003629815772439991     -0.0018283366196586923    0.000445251864885161      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    5371.610972915758    All      -0.00011771523099504894    2.3363495471978654e-05    -0.00053416462533283      2.2116668663332213e-05    
MWEBV         All|All|All                            All                  All      -0.5581639616451697        -3.100766939735955        -0.00958404103929105      -0.828637130851195        
Redshift      All|All|All                            All                  All      7.4340603750946            -0.05408650515565938      2.186610219032261         -2.341557420274541        
