#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|CNIa02|SDSS_r                      6111.819077518757    All      1.3769483000469969         0.032886967928913435      0.2647683578988591         -0.42598959839932893       
Zeropoint     AB|CNIa02|SDSS_g                      4677.289458384594    All      -0.6145733600210859        0.45496881625934904       0.12862478330353255        0.35412500703355665        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5420.555571736922    All      -0.4977998847863867        0.8290147422486349        -0.5158844157088005        0.40916562282831137        
Zeropoint     AB|CNIa02|SDSS_i                      7411.648868672594    All      1.0236082753018374         -0.28148722359251366      0.2554959017540881         -0.41371093171141404       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4332.795858670681    All      -0.15783153007491907       0.0982889321775815        -0.08887118393072768       0.07946094790032276        
Check         All|All|All                           All                  All      1.130351800466443          1.1336722350219652        0.04413344331695157        0.0030510476514478135      
Lambda        AB|CNIa02|SDSS_r                      6111.819077518757    All      0.000725957549366794       -5.254560253418713e-05    0.000381424890634592       -0.0002365628475192319     
Lambda        AB|CNIa02|SDSS_g                      4677.289458384594    All      -0.0004397161669152816     0.00035470157491296095    5.34785855889001e-05       0.00026115449773743383     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5420.555571736922    All      -0.00041081765730067033    0.0005800758761745577     -0.000524112010030863      0.0002993779114335504      
Lambda        AB|CNIa02|SDSS_i                      7411.648868672594    All      0.0005368724855817251      -0.000282605650390466     -0.00011008877737413672    -0.00027184374543076477    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4332.795858670681    All      -0.0003266699366059867     0.00015647709278853976    -0.00017512753739200215    0.00014956174487681505     
MWEBV         All|All|All                           All                  All      -0.7390847182860063        -4.116102945521671        0.025008862033493173       -1.0988899065593083        
Redshift      All|All|All                           All                  All      6.443627819746475          -2.6767718282197706       2.5344921655567454         -2.8577114727312614        
