#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|CNIa02|SDSS_r                      6111.819077518757    All      1.2785674733095473         -0.22782179142142311      -0.18667621256119865       -0.49901104425141846      
Zeropoint     AB|CNIa02|SDSS_g                      4677.289458384594    All      -0.8442069072387584        0.8448906802290601        0.2410272521109773         0.5609505931618965        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5420.555571736922    All      0.35406855052348024        0.4007030987528637        0.0537541633795818         0.017589208017063894      
Zeropoint     AB|CNIa02|SDSS_i                      7411.648868672594    All      0.5879855209112139         -0.1553723861229095       0.1434532312874446         -0.2357344672142487       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4332.795858670681    All      -0.37912458353477296       0.13541225320716777       -0.25325233756494925       0.1563000868063657        
Check         All|All|All                           All                  All      0.9972900539707101         0.997811854644759         -0.0016939033481441768     9.437651965898963e-05     
Lambda        AB|CNIa02|SDSS_r                      6111.819077518757    All      6.740343300484807e-05      -8.958613808106227e-05    -0.00043743956711994543    -7.065758689946022e-05    
Lambda        AB|CNIa02|SDSS_g                      4677.289458384594    All      -0.0003043592210689946     0.00015193684985471308    5.491689434172894e-05      0.00015108133076499172    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5420.555571736922    All      -4.276166759793806e-05     0.00010748521560385621    -0.0010621066725161688     1.5434101195697477e-06    
Lambda        AB|CNIa02|SDSS_i                      7411.648868672594    All      0.00010396656006577817     -9.867904600198913e-05    -0.00023360764813347065    -7.643317715376313e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4332.795858670681    All      -0.00022648949828371626    8.148552256083463e-05     -0.00015004930054020896    9.362158523470432e-05     
MWEBV         All|All|All                           All                  All      -0.8505760340941246        -4.0792848545453175       0.013540719548065546       -1.0510924240629016       
Redshift      All|All|All                           All                  All      6.293334559789279          0.18481849259890382       5.2480381916748895         -1.755548806166422        
