#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_I             8127.394099747545     All      0.013358817260871524       -0.012303413420333698      -0.03238344257785464       -0.009804157105658406      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_I             7795.901069914056     All      0.1878846562182302         -0.02484250280314626       0.10960415259870793        -0.0644011042721021        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_B             4368.253702646613     All      -0.04019162662777133       0.012786987377033654       -0.07432444150170525       0.013940119061586764       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_R             6289.660569959708     All      0.031070366152744333       -0.0668434988456923        -0.2672088573845599        -0.04381807115964864       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_B             4401.028817735567     All      -0.2723667453278007        0.1740611648537893         -0.20306329771608844       0.13635447504706383        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_R             6293.194709250704     All      0.04117266908294441        -0.05294614221771354       -0.1874315973790175        -0.03902180460637894       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4333.309220561066     All      -0.672867651036122         0.5326220126677939         0.06998710032699584        0.3957908457487669         
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_I             8127.389103902434     All      0.027844209111936226       -0.016858096771521502      -0.029316656707401023      -0.015869279430739958      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_B             4275.625758521996     All      -0.054445068856533343      0.02789231622379873        -0.05779640798930785       0.024240806900911044       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_R             6291.975867832345     All      0.3715743263653746         0.01817937861758878        0.22400700887619251        -0.10511595685073205       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5364.534384413965     All      0.16221267983010518        0.4120499124239174         0.4437540219540015         0.10118290996791873        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_V             5319.543839191666     All      -0.001993540071633937      -0.044467130498127005      -0.2884422452451574        -0.026706898379504768      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_V             5277.4515778695095    All      -0.009686994560165085      -0.045185964535932044      -0.3276448757578265        -0.026184468389117005      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_V             5322.6373951924115    All      0.029867196583159505       0.15693823160889409        0.07717218760596722        0.04483505691457723        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6195.499058775821     All      0.9286900304955381         -0.011850652625700064      0.49558338640798283        -0.28424943295874416       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7542.960344430203     All      0.25454092757676605        -0.05599873720294468       0.06822897902418745        -0.0981082393007808        
Check         All|All|All                                All                   All      0.9966642521976437         1.0032338648517047         0.02072501453511677        0.003064801187417615       
Lambda        Linear_AB11_off|LOSS|LOSS_N2_I             8127.394099747545     All      2.845515479891522e-06      -2.2746050946391273e-06    -5.3191681661048565e-06    -1.9051617632856725e-06    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_I             7795.901069914056     All      -3.5888171644164505e-05    6.801157374770317e-06      -1.698220815718317e-05     1.314748094508167e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_N1_B             4368.253702646613     All      -3.3359685230871085e-05    1.579334353839629e-05      -2.8516957928027648e-05    1.4738177698087161e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_N2_R             6289.660569959708     All      -4.1996665746427725e-06    5.8391935168531415e-06     1.6869043388052588e-05     4.022774930182123e-06      
Lambda        Linear_AB11_off|LOSS|LOSS_K4_B             4401.028817735567     All      -0.0001957803949024301     4.857054767749287e-05      -0.0003988773932543408     6.179307482217533e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_N1_R             6293.194709250704     All      9.328372780440666e-06      -5.06777691693674e-06      -7.647183557008909e-06     -5.030558255598576e-06     
