#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|MEGACAMPSF|z           5011.13991120624      All      1.5919358348239379         0.27089425895479025        0.24274532238745503        -0.4194740933882952       
Zeropoint     AB|MEGACAMPSF|r           3556.7508746304648    All      -1.5936456627460531        0.1133196484126131         -0.10168592732237393       0.5514769834252446        
Zeropoint     AB|MEGACAMPSF|i           4348.789922238517     All      0.9971450272125657         0.6142681789096827         -0.14116296993917274       -0.1310150407767263       
Check         All|All|All               All                   All      0.9954351992904504         0.998482086277086          -0.00010357487409165533    0.0009878492602231337     
Lambda        AB|MEGACAMPSF|z           5011.13991120624      All      0.0001874753629814589      2.979800083381009e-05      -5.5236580209994475e-05    -5.382565916495702e-05    
Lambda        AB|MEGACAMPSF|r           3556.7508746304648    All      -0.0022496941151526647     9.792917593243597e-05      -0.001424185515770495      0.0007011432818972452     
Lambda        AB|MEGACAMPSF|i           4348.789922238517     All      -0.00035245701032013334    -0.00015790501796956883    -0.0022200180172682023     -3.56972234577131e-05     
MWEBV         All|All|All               All                   All      -0.2354960267592734        -1.836187387551469         0.0203488935242165         -0.5204897597326964       
Redshift      All|All|All               All                   All      8.990226047415682          1.129620359436423          0.17995955564205257        -2.5524271103766445       
