#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_g            3687.1615656604413    All      -1.1602813241193746        0.38605067489232425       -0.31562799371426253      0.4896061771572785        
Zeropoint     AB|SDSS|SDSS_i            5842.688824347124     All      0.8980796767860157         0.11284837557266059       -0.8499866222431152       -0.29370666725102995      
Zeropoint     AB|SDSS|SDSS_z            6946.469973480474     All      0.1271899919759615         0.020505923314573238      0.2860317586595995        -0.021986227271994507     
Zeropoint     AB|SDSS|SDSS_r            4818.017913879649     All      1.1340072594448714         0.47955267167179016       0.8860853351296383        -0.17363547129000678      
Check         All|All|All               All                   All      0.998995604087474          0.9989576454513482        0.006502477831860087      0.0002778113442472585     
Lambda        AB|SDSS|SDSS_g            3687.1615656604413    All      -0.0019078239961208476     0.00033863486175384714    -0.004146533495474189     0.0005467048107474693     
Lambda        AB|SDSS|SDSS_i            5842.688824347124     All      -0.00019696867151208463    -2.617727496549777e-05    0.0001564233979041616     6.26128345470544e-05      
Lambda        AB|SDSS|SDSS_z            6946.469973480474     All      -5.397249902991183e-05     -7.896752674275662e-06    -9.542438380699607e-05    1.0750034454096975e-05    
Lambda        AB|SDSS|SDSS_r            4818.017913879649     All      -0.00027786404127751565    -9.994358948541074e-05    -0.0011547663697553492    6.422625125609805e-06     
MWEBV         All|All|All               All                   All      -0.578663795669458         -2.90099953347287         0.25105337082366175       -0.7452577934855278       
Redshift      All|All|All               All                   All      4.593238822685032          -0.04799547958462824      4.114588016264353         -1.3281875387757145       
